#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	5849	7006	+	GCF_000500935_00005	43.3	9.3	PF03989.18|DNA_gyraseA_C	PFAM:PF03989.18
contig_1	27765	29507	+	GCF_000500935_00029	67.4	5.4		RefSeq:WP_023788809.1, SO:0001217, UniParc:UPI0003C9A014, UniRef:UniRef100_V5RJ98, UniRef:UniRef50_V5RJ98, UniRef:UniRef90_V5RJ98
contig_1	47777	48148	+	GCF_000500935_00048	14.2	9.9		RefSeq:WP_023788828.1, SO:0001217, UniParc:UPI0003C9B1FC, UniRef:UniRef100_V5RH75, UniRef:UniRef50_V5RH75, UniRef:UniRef90_V5RH75
contig_1	138966	139091	+	GCF_000500935_00128	5.0	4.3		RefSeq:WP_023788901.1, SO:0001217, UniParc:UPI0003C937DD, UniRef:UniRef100_V5RH26, UniRef:UniRef50_S5MIS9, UniRef:UniRef90_V5RH26
contig_1	157115	159382	+	GCF_000500935_00147	89.2	5.9		RefSeq:WP_023788909.1, SO:0001217, UniParc:UPI0003C96C0E, UniRef:UniRef100_V5RJL4, UniRef:UniRef50_V5RJL4, UniRef:UniRef90_V5RJL4
contig_1	159384	160472	+	GCF_000500935_00148	42.4	6.3		RefSeq:WP_023788910.1, SO:0001217, UniParc:UPI0003C9B001, UniRef:UniRef100_V5RIP7, UniRef:UniRef50_V5RIP7, UniRef:UniRef90_V5RIP7
contig_1	163784	165655	+	GCF_000500935_00152	72.1	9.6		RefSeq:WP_023788914.1, SO:0001217, UniParc:UPI0003C98BC2, UniRef:UniRef100_V5RJL8, UniRef:UniRef50_V5RJL8, UniRef:UniRef90_V5RJL8
contig_1	198781	199434	+	GCF_000500935_00183	25.3	6.3		RefSeq:WP_023788944.1, SO:0001217, UniParc:UPI0003C9AB2D, UniRef:UniRef100_V5RJR5, UniRef:UniRef50_V5RJR5, UniRef:UniRef90_V5RJR5
contig_1	211698	212147	+	GCF_000500935_00194	17.5	5.8		RefSeq:WP_023788955.1, SO:0001217, UniParc:UPI0003C9533D, UniRef:UniRef100_V5RIW4, UniRef:UniRef50_V5RIW4, UniRef:UniRef90_V5RIW4
contig_1	233797	233973	+	GCF_000500935_00214	6.6	9.5		RefSeq:WP_023788975.1, SO:0001217, UniParc:UPI0003C939BC, UniRef:UniRef100_V5RIY1, UniRef:UniRef50_V5RIY1, UniRef:UniRef90_V5RIY1
