# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	117	4115	-	GCA_039206795_0001	1837.0	0.0	1.017	0.972	0.711	UniRef:UniRef90_UPI0020C007CB
contig_1	cds	4166	4987	-	GCA_039206795_0002	234.0	1.7e-73	1.004	1.0	0.526	UniRef:UniRef90_UPI0020231638
contig_1	cds	5243	8218	+	GCA_039206795_0003	1406.0	0.0	1.002	1.001	0.781	UniRef:UniRef90_UPI00202300A1
contig_1	cds	8250	8900	+	GCA_039206795_0004	312.0	9.5e-106	0.921	0.917	0.804	UniRef:UniRef90_UPI002022EF64
contig_1	cds	8973	9674	+	GCA_039206795_0005	362.0	2.5e-125	0.936	0.982	0.849	UniRef:UniRef90_UPI0020230B58
contig_1	cds	9677	11026	+	GCA_039206795_0006	774.0	9.2e-281	0.984	0.998	0.889	UniRef:UniRef90_UPI002022AF8F
contig_1	cds	11220	12065	+	GCA_039206795_0007	-	-	-	-	-	-
contig_1	cds	12335	13717	+	GCA_039206795_0008	594.0	6.3e-209	0.974	0.914	0.638	UniRef:UniRef90_A0A2K8NR75
contig_1	cds	13829	14098	+	GCA_039206795_0009	143.0	4.7e-43	1.0	1.0	0.843	UniRef:UniRef90_UPI002022FFCE
contig_1	cds	14099	14560	-	GCA_039206795_0010	218.0	1.3e-70	0.974	0.974	0.705	UniRef:UniRef90_A0A846TPU8
contig_1	cds	14631	14960	+	GCA_039206795_0011	188.0	2.8e-60	1.0	1.0	0.917	UniRef:UniRef90_UPI000A27BAF2
contig_1	ncRNA	14990	15378	+	GCA_039206795_0012	241.5	1.2e-26	-	-	-	RFAM:RF00011
contig_1	cds	15443	15958	+	GCA_039206795_0013	238.0	5.9e-78	0.906	0.963	0.768	UniRef:UniRef90_UPI002022CD8B
contig_1	cds	16014	17015	+	GCA_039206795_0014	560.0	7.5e-200	1.0	1.0	0.856	UniRef:UniRef90_UPI002022D9A6
contig_1	cds	17153	18691	+	GCA_039206795_0015	845.0	1.8e-306	0.998	0.986	0.879	UniRef:UniRef90_UPI002022A121
contig_1	cds	18776	20137	+	GCA_039206795_0016	773.0	3.2e-280	0.998	0.998	0.878	UniRef:UniRef90_UPI0020BE3EC0
contig_1	cds	20186	20818	+	GCA_039206795_0017	318.0	3.0e-108	0.971	0.976	0.765	UniRef:UniRef90_UPI0020C18488
contig_1	cds	20839	21639	+	GCA_039206795_0018	402.0	9.7e-140	0.996	0.989	0.755	UniRef:UniRef90_UPI0020231488
contig_1	cds	21733	21972	+	GCA_039206795_0019	92.0	7.9e-23	0.924	0.839	0.671	UniRef:UniRef90_UPI0027DF5F38
contig_1	cds	22151	22696	+	GCA_039206795_0020	322.0	1.1e-110	1.0	1.0	0.895	UniRef:UniRef90_UPI0020231425
contig_1	cds	22721	23734	+	GCA_039206795_0021	483.0	1.9e-169	0.926	0.931	0.734	UniRef:UniRef90_UPI0020230209
contig_1	cds	23746	24873	+	GCA_039206795_0022	502.0	6.9e-176	0.995	1.011	0.716	UniRef:UniRef90_A0A846U0D1
contig_1	cds	24929	29263	+	GCA_039206795_0023	2352.0	0.0	0.991	0.998	0.816	UniRef:UniRef90_UPI0020BFC5AA
contig_1	cds	29325	30119	+	GCA_039206795_0024	339.0	4.6e-115	0.985	0.992	0.658	UniRef:UniRef90_A0A846TZU1
contig_1	cds	30181	30492	-	GCA_039206795_0025	194.0	1.3e-62	0.990	0.990	0.902	UniRef:UniRef90_UPI002022DF8D
contig_1	cds	30572	30904	-	GCA_039206795_0026	152.0	8.4e-46	0.945	0.972	0.740	UniRef:UniRef90_A0A846TVW4
contig_1	cds	31024	31902	+	GCA_039206795_0027	492.0	1.5e-174	1.0	1.0	0.832	UniRef:UniRef90_UPI002022C262
contig_1	cds	32049	33239	+	GCA_039206795_0028	660.0	2.6e-237	1.003	0.995	0.816	UniRef:UniRef90_UPI002022FB85
contig_1	cds	33274	34272	+	GCA_039206795_0029	568.0	4.4e-203	1.0	1.0	0.873	UniRef:UniRef90_UPI0020231109
contig_1	cds	34303	35826	+	GCA_039206795_0030	747.0	4.7e-268	1.004	0.983	0.784	UniRef:UniRef90_UPI0020230875
contig_1	cds	35866	36798	+	GCA_039206795_0031	545.0	1.1e-194	1.0	1.0	0.887	UniRef:UniRef90_UPI002022DC25
contig_1	cds	36942	38249	+	GCA_039206795_0032	672.0	6.2e-241	0.998	0.998	0.776	UniRef:UniRef90_UPI002022C72D
contig_1	cds	38326	39618	+	GCA_039206795_0033	-	-	-	-	-	-
contig_1	cds	39741	40886	-	GCA_039206795_0034	-	-	-	-	-	-
contig_1	cds	41048	41905	-	GCA_039206795_0035	-	-	-	-	-	-
contig_1	cds	42011	42190	-	GCA_039206795_0036	-	-	-	-	-	-
contig_1	cds	42507	43253	+	GCA_039206795_0037	413.0	9.0e-145	1.0	1.0	0.863	UniRef:UniRef90_UPI002022F13D
contig_1	cds	43285	43908	+	GCA_039206795_0038	318.0	1.9e-108	0.942	0.975	0.815	UniRef:UniRef90_UPI002022B2E1
contig_1	cds	43898	44680	+	GCA_039206795_0039	360.0	9.7e-124	0.908	0.959	0.767	UniRef:UniRef90_UPI0020BFEAEE
contig_1	cds	44783	46753	+	GCA_039206795_0040	-	-	-	-	-	-
contig_1	cds	46876	47604	+	GCA_039206795_0041	350.0	6.7e-120	0.996	1.013	0.755	UniRef:UniRef90_UPI0020BE433A
contig_1	cds	47644	48321	+	GCA_039206795_0042	339.0	2.8e-116	1.004	1.004	0.801	UniRef:UniRef90_UPI0020BF69D9
contig_1	cds	48377	49126	-	GCA_039206795_0043	281.0	9.7e-93	1.0	1.008	0.651	UniRef:UniRef90_UPI002022F307
contig_1	cds	49116	49997	-	GCA_039206795_0044	418.0	2.6e-145	0.918	0.924	0.792	UniRef:UniRef90_UPI00202316B2
contig_1	cds	50115	50558	-	GCA_039206795_0045	221.0	3.5e-72	0.898	0.898	0.833	UniRef:UniRef90_UPI002022B130
contig_1	cds	50548	50937	-	GCA_039206795_0046	157.0	4.5e-47	0.884	0.844	0.746	UniRef:UniRef90_UPI002022C7B5
contig_1	cds	51251	52372	+	GCA_039206795_0047	620.0	2.0e-222	1.003	1.003	0.853	UniRef:UniRef90_UPI002022BA9D
