#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	14725	14904	+	GCF_003124115_00014	7.0	9.7		SO:0001217, UniParc:UPI000D28FCAD, UniRef:UniRef100_A0A977TPA5, UniRef:UniRef50_A0A977TPA5, UniRef:UniRef90_A0A977TPA5
contig_1	14953	15069	+	GCF_003124115_00015	4.6	9.4		SO:0001217, UniParc:UPI000591E890, UniRef:UniRef100_A0A977TP79, UniRef:UniRef50_A0A0C2I4K5, UniRef:UniRef90_A0A0C2I4K5
contig_1	15316	15453	+	GCF_003124115_00017	5.5	4.1		RefSeq:WP_157944213.1, SO:0001217, UniParc:UPI000591FE48, UniRef:UniRef100_A0A977TP57, UniRef:UniRef50_Q14MU4, UniRef:UniRef90_A0A977TP57
contig_1	33653	33832	+	GCF_003124115_00036	7.0	9.7		SO:0001217, UniParc:UPI000D28FCAD, UniRef:UniRef100_A0A977TPA5, UniRef:UniRef50_A0A977TPA5, UniRef:UniRef90_A0A977TPA5
contig_1	33881	33997	+	GCF_003124115_00037	4.6	9.4		SO:0001217, UniParc:UPI000591E890, UniRef:UniRef100_A0A977TP79, UniRef:UniRef50_A0A0C2I4K5, UniRef:UniRef90_A0A0C2I4K5
contig_1	34244	34381	+	GCF_003124115_00039	5.5	4.1		RefSeq:WP_157944213.1, SO:0001217, UniParc:UPI000591FE48, UniRef:UniRef100_A0A977TP57, UniRef:UniRef50_Q14MU4, UniRef:UniRef90_A0A977TP57
contig_1	39593	39826	-	GCF_003124115_00048	9.2	9.8		RefSeq:WP_109285093.1, SO:0001217, UniParc:UPI000D655E30, UniRef:UniRef100_UPI000D655E30, UniRef:UniRef50_A0A432ZV76, UniRef:UniRef90_A0A2P6F9D2
contig_1	40417	41199	-	GCF_003124115_00049	29.2	5.9		RefSeq:WP_109285095.1, SO:0001217, UniParc:UPI000D65BABD, UniRef:UniRef100_UPI000D65BABD, UniRef:UniRef50_A0A432ZV93, UniRef:UniRef90_UPI000D65BABD
contig_1	41448	41675	-	GCF_003124115_00051	8.7	4.7		RefSeq:WP_109285096.1, SO:0001217, UniParc:UPI000D64C0C4, UniRef:UniRef100_UPI000D64C0C4, UniRef:UniRef50_A0A2P6F8F6, UniRef:UniRef90_A0A2P6F8F6
contig_1	52573	52752	+	GCF_003124115_00061	7.0	9.7		SO:0001217, UniParc:UPI000D28FCAD, UniRef:UniRef100_A0A977TPA5, UniRef:UniRef50_A0A977TPA5, UniRef:UniRef90_A0A977TPA5
contig_1	52801	52917	+	GCF_003124115_00062	4.6	9.4		SO:0001217, UniParc:UPI000591E890, UniRef:UniRef100_A0A977TP79, UniRef:UniRef50_A0A0C2I4K5, UniRef:UniRef90_A0A0C2I4K5
contig_1	53164	53301	+	GCF_003124115_00064	5.5	4.1		RefSeq:WP_157944213.1, SO:0001217, UniParc:UPI000591FE48, UniRef:UniRef100_A0A977TP57, UniRef:UniRef50_Q14MU4, UniRef:UniRef90_A0A977TP57
contig_1	65686	66369	-	GCF_003124115_00077	26.3	4.6		RefSeq:WP_109285103.1, SO:0001217, UniParc:UPI000D6523F6, UniRef:UniRef100_UPI000D6523F6, UniRef:UniRef50_A0A2P6F8Y2, UniRef:UniRef90_A0A2P6F8Y2
contig_1	84956	85342	-	GCF_003124115_00102	15.4	8.8	PF00128.31|Alpha-amylase	PFAM:PF00128.31, RefSeq:WP_227991232.1, SO:0001217, UniParc:UPI0005922281, UniRef:UniRef100_UPI0005922281, UniRef:UniRef50_UPI001F53E985, UniRef:UniRef90_UPI001F53E985
contig_1	106761	106940	+	GCF_003124115_00126	7.0	9.7		SO:0001217, UniParc:UPI000D28FCAD, UniRef:UniRef100_A0A977TPA5, UniRef:UniRef50_A0A977TPA5, UniRef:UniRef90_A0A977TPA5
contig_1	106989	107105	+	GCF_003124115_00127	4.6	9.5		SO:0001217, UniParc:UPI000591CFE3, UniRef:UniRef100_A0A0C2I4K5, UniRef:UniRef50_A0A0C2I4K5, UniRef:UniRef90_A0A0C2I4K5
contig_1	107352	107489	+	GCF_003124115_00129	5.5	4.1		RefSeq:WP_157944213.1, SO:0001217, UniParc:UPI000591FE48, UniRef:UniRef100_A0A977TP57, UniRef:UniRef50_Q14MU4, UniRef:UniRef90_A0A977TP57
contig_1	134694	135140	+	GCF_003124115_00162	17.3	5.1		RefSeq:WP_040094164.1, SO:0001217, UniParc:UPI000589D38B, UniRef:UniRef100_A0A2P6FFD5, UniRef:UniRef50_A0A2P6FFD5, UniRef:UniRef90_A0A2P6FFD5
