query	qlen	totqcov	uniq_doms	tot_doms	missing_doms	repeated_doms	max_repeated_doms	arch_size	arch	arch_types
152.1001	141	0.830	1	1	1	0	0	2	PF02729:4-120,m:121-141	2
152.1009	104	0.865	1	1	2	0	0	3	m:1-6,PF02302@CL0031:7-96,m:97-104	2
152.1011	478	0.707	1	1	2	0	0	3	m:1-9,PF00224@CL0151:10-347,m:348-478	2
152.1012	327	0.838	1	1	1	0	0	2	PF00365@CL0240:4-277,m:278-327	2
152.1024	195	0.703	1	1	2	0	0	3	m:1-32,PF01252:33-169,m:170-195	1
152.1025	908	0.816	2	2	3	0	1	5	m:1-43,PF00133@CL0039:44-628,m:629-670,PF08264@CL0258:671-826,m:827-908	12
152.1031	313	0.987	1	1	0	0	0	1	PF01795@CL0063:3-311	1
152.1033	58	0.914	1	1	0	0	0	1	PF01783@CL0167:2-54	1
152.1040	345	0.913	2	2	2	0	1	4	m:1-19,PF02912@CL0298:20-84,m:85-91,PF01409@CL0040:92-341	22
152.1044	229	0.882	1	1	1	0	0	2	m:1-23,PF01863@CL0126:24-225	1
152.1053	600	0.745	4	4	2	0	1	6	PF00009@CL0023:4-183,m:184-295,PF14492@CL0437:296-365,m:366-400,PF00679@CL0437:401-490,PF06421:491-597	2221
152.1057	319	0.831	2	2	3	0	1	5	m:1-5,PF00551:6-171,m:172-205,PF02911:206-304,m:305-319	22
152.1060	237	0.975	1	1	0	0	0	1	PF01709:5-235	1
152.1063	150	0.853	1	1	1	0	0	2	PF02367@CL0023:2-129,m:130-150	2
152.1064	328	0.860	1	1	1	0	0	2	PF07992@CL0063:2-283,m:284-328	2
152.1076	431	0.738	2	2	2	0	1	4	m:1-5,PF00875@CL0039:6-150,m:151-256,PF03441:257-429	22
152.1117	217	0.848	1	1	2	0	0	3	m:1-12,PF00753@CL0381:13-196,m:197-217	2
152.1120	386	0.902	1	1	1	0	0	2	m:1-38,PF13520@CL0062:39-386	1
152.1122	281	0.950	1	1	2	0	0	3	m:1-6,PF08282@CL0137:7-273,m:274-281	2
152.1140	281	0.744	1	1	2	0	0	3	m:1-25,PF14188:26-234,m:235-281	1
152.1142	121	0.917	1	1	2	0	0	3	m:1-5,PF14272:6-116,m:117-121	1
152.1145	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
152.1149	67	1.000	1	1	0	0	0	1	PF10854:1-67	1
152.1154	644	0.998	1	1	0	0	0	1	PF12461:2-644	1
152.1167	169	0.929	1	1	2	0	0	3	m:1-6,PF03838@CL0236:7-163,m:164-169	2
152.1169	90	1.000	1	1	0	0	0	1	PF00216@CL0548:1-90	2
152.1181	195	0.703	1	1	2	0	0	3	m:1-31,PF00156@CL0533:32-168,m:169-195	2
152.1187	481	0.821	2	2	3	0	1	5	m:1-26,PF00370@CL0108:27-232,m:233-241,PF02782@CL0108:242-430,m:431-481	22
152.1188	458	0.959	2	2	2	0	1	4	PF03952@CL0227:4-134,m:135-141,PF00113@CL0256:142-449,m:450-458	22
152.1189	340	0.738	1	1	1	0	0	2	PF00579@CL0039:1-251,m:252-340	1
152.1191	273	0.861	1	1	2	0	0	3	m:1-18,PF00248:19-253,m:254-273	2
152.1199	395	0.972	1	1	1	0	0	2	PF00871@CL0108:2-385,m:386-395	1
152.1200	322	0.938	1	1	2	0	0	3	m:1-14,PF01515@CL0270:15-316,m:317-322	1
152.1207	248	0.831	1	1	2	0	0	3	m:1-24,PF01182@CL0246:25-230,m:231-248	2
152.1208	385	0.862	1	1	2	0	0	3	m:1-45,PF01979@CL0034:46-377,m:378-385	2
152.1210	539	0.883	2	2	2	0	1	4	m:1-32,PF02734:33-195,m:196-226,PF13684@CL0245:227-539	12
152.1213	65	0.892	1	1	1	0	0	2	PF00830:3-60,m:61-65	1
152.1215	226	0.898	1	1	2	0	0	3	m:1-5,PF00834@CL0036:6-208,m:209-226	2
152.1216	289	0.772	2	2	1	0	1	3	PF16745@CL0021:4-59,PF03193@CL0023:62-228,m:229-289	22
152.1217	337	0.745	1	1	2	0	0	3	m:1-13,PF00069@CL0016:14-264,m:265-337	2
152.1220	696	0.703	2	2	3	0	1	5	m:1-30,PF02378@CL0493:31-486,m:487-604,PF00367:605-637,m:638-696	12
152.1224	310	0.823	1	1	2	0	0	3	m:1-35,PF00294@CL0118:36-290,m:291-310	2
152.1225	690	0.713	3	3	4	0	1	7	m:1-5,PF00359@CL0340:6-148,m:149-169,PF02302@CL0031:170-251,m:252-301,PF02378@CL0493:302-568,m:569-690	221
152.1226	233	0.884	2	2	2	0	1	4	m:1-6,PF08220@CL0123:7-59,m:60-79,PF00455@CL0246:80-232	22
152.1229	91	0.802	1	1	2	0	0	3	m:1-9,PF04296:10-82,m:83-91	1
152.1235	64	0.969	1	1	0	0	0	1	PF13683@CL0219:2-63	2
152.1238	148	0.865	1	1	1	0	0	2	m:1-18,PF00359@CL0340:19-146	2
152.1240	220	0.905	1	1	2	0	0	3	m:1-5,PF00834@CL0036:6-204,m:205-220	2
152.1251	103	0.893	1	1	1	0	0	2	m:1-7,PF00085@CL0172:8-99	2
152.1252	269	0.959	1	1	1	0	0	2	PF08282@CL0137:5-262,m:263-269	2
152.1261	127	0.929	1	1	1	0	0	2	m:1-7,PF01042@CL0534:8-125	2
152.1267	248	0.790	2	2	3	0	1	5	m:1-28,PF14622@CL0539:29-155,m:156-169,PF00035@CL0196:170-238,m:239-248	12
152.1268	334	0.913	1	1	1	0	0	2	PF02504@CL0270:3-307,m:308-334	1
152.1270	108	0.731	1	1	2	0	0	3	m:1-21,PF00581@CL0031:22-100,m:101-108	2
152.1271	377	0.737	2	2	2	0	1	4	PF00226@CL0392:5-66,m:67-131,PF01556:132-347,m:348-377	22
152.1272	602	0.945	1	1	1	0	0	2	PF00012@CL0108:4-572,m:573-602	1
152.1273	206	0.748	1	1	1	0	0	2	m:1-52,PF01025:53-206	1
152.1276	287	0.930	1	1	2	0	0	3	m:1-11,PF08282@CL0137:12-278,m:279-287	2
152.1295	263	0.882	1	1	2	0	0	3	m:1-18,PF00248:19-250,m:251-263	2
152.1296	328	0.893	1	1	2	0	0	3	m:1-7,PF03320@CL0171:8-300,m:301-328	1
152.13	214	0.888	1	1	2	0	0	3	m:1-6,PF02223@CL0023:7-196,m:197-214	2
152.1304	179	0.989	1	1	0	0	0	1	PF02572@CL0023:3-179	2
152.1333	363	0.810	1	1	2	0	0	3	m:1-47,PF05343@CL0035:48-341,m:342-363	1
152.1334	279	0.968	1	1	1	0	0	2	PF02645@CL0245:3-272,m:273-279	1
152.1336	161	0.752	1	1	2	0	0	3	m:1-13,PF01475@CL0123:14-134,m:135-161	1
152.1337	74	0.703	1	1	2	0	0	3	m:1-17,PF00550@CL0314:18-69,m:70-74	2
152.1343	527	0.778	1	1	2	0	0	3	m:1-93,PF02386@CL0030:94-503,m:504-527	1
152.1345	480	0.894	2	2	3	0	1	5	m:1-5,PF02934@CL0286:6-287,m:288-327,PF02637@CL0279:328-474,m:475-480	22
152.1346	490	0.873	1	1	2	0	0	3	m:1-33,PF01425:34-461,m:462-490	1
152.1347	97	0.732	1	1	2	0	0	3	m:1-19,PF02686:20-90,m:91-97	1
152.1348	667	0.816	5	5	3	0	1	8	PF01653@CL0078:4-314,PF03120@CL0021:318-391,m:392-402,PF03119:403-428,m:429-506,PF12826@CL0198:507-568,m:569-592,PF00533@CL0459:593-663	22251
152.1350	160	0.769	1	1	2	0	0	3	m:1-10,PF00358@CL0105:11-133,m:134-160	2
152.1353	583	0.828	3	3	4	0	1	7	m:1-5,PF05524:6-127,m:128-152,PF00391@CL0364:153-226,m:227-256,PF02896@CL0151:257-543,m:544-583	122
152.1363	67	1.000	1	1	0	0	0	1	PF10854:1-67	1
