query	qlen	totqcov	uniq_doms	tot_doms	missing_doms	repeated_doms	max_repeated_doms	arch_size	arch	arch_types
44.100	572	0.850	3	3	4	0	1	7	m:1-6,PF05524:7-127,m:128-152,PF00391@CL0364:153-226,m:227-249,PF02896@CL0151:250-540,m:541-572	122
44.1000	145	0.807	1	1	1	0	0	2	m:1-26,PF00828@CL0588:27-143	1
44.1002	116	0.983	1	1	0	0	0	1	PF00861@CL0267:3-116	1
44.1003	180	0.822	1	2	3	1	2	5	m:1-10,PF00347:11-83,m:84-90,PF00347:91-165,m:166-180	22
44.1004	129	0.977	1	1	0	0	0	1	PF00410:4-129	2
44.1005	61	0.705	1	1	1	0	0	2	m:1-17,PF00253:18-60	1
44.1006	185	0.816	2	2	1	0	1	3	m:1-29,PF00281@CL0652:30-86,PF00673:90-183	22
44.1007	105	0.876	2	2	2	0	1	4	m:1-7,PF00467@CL0107:8-39,m:40-44,PF17136:45-104	11
44.1008	122	1.000	1	1	0	0	0	1	PF00238:1-122	2
44.1009	85	0.800	1	1	2	0	0	3	m:1-10,PF00366@CL0021:11-78,m:79-85	2
44.101	158	0.772	1	1	2	0	0	3	m:1-9,PF00358@CL0105:10-131,m:132-158	2
44.1011	137	0.942	1	1	1	0	0	2	PF00252:4-132,m:133-137	2
44.1013	111	0.937	1	1	0	0	0	1	PF00237:5-108	2
44.1014	89	0.888	1	1	1	0	0	2	PF00203:3-81,m:82-89	2
44.1015	280	0.736	2	2	3	0	1	5	m:1-41,PF00181@CL0021:42-118,m:119-124,PF03947@CL0107:125-253,m:254-280	22
44.1016	94	0.904	1	1	1	0	0	2	m:1-5,PF00276:6-90	1
44.1017	208	0.913	1	1	1	0	0	2	m:1-15,PF00573:16-205	1
44.1019	102	0.922	1	1	1	0	0	2	m:1-7,PF00338:8-101	2
44.1024	594	0.722	2	2	3	0	1	5	m:1-107,PF08439:108-174,m:175-204,PF01432@CL0126:205-566,m:567-594	11
44.1029	395	0.909	3	3	2	0	1	5	m:1-10,PF00009@CL0023:11-202,m:203-224,PF03144@CL0575:225-295,PF03143:299-394	222
44.103	489	0.947	1	1	2	0	0	3	m:1-13,PF00478@CL0036:14-476,m:477-489	2
44.1030	689	0.893	5	5	4	0	1	9	m:1-10,PF00009@CL0023:11-280,m:281-320,PF03144@CL0575:321-387,m:388-400,PF14492@CL0437:401-474,PF03764@CL0329:476-592,PF00679@CL0437:597-683,m:684-689	22222
44.1031	155	0.948	1	1	1	0	0	2	PF00177:2-148,m:149-155	2
44.1032	139	0.899	1	1	1	0	0	2	m:1-11,PF00164@CL0021:12-136	1
44.1039	363	0.840	2	2	3	0	1	5	m:1-11,PF03462:12-206,m:207-213,PF00472@CL0337:214-323,m:324-363	21
44.1040	200	0.925	1	1	1	0	0	2	m:1-11,PF00265@CL0023:12-196	1
44.1044	297	0.963	1	1	1	0	0	2	m:1-9,PF01116@CL0036:10-295	2
44.1045	532	0.915	2	2	2	0	1	4	PF06418@CL0023:3-267,m:268-303,PF00117@CL0014:304-525,m:526-532	22
44.1048	478	0.925	2	2	2	0	1	4	PF00749@CL0039:3-320,m:321-349,PF19269:350-473,m:474-478	22
