query	qlen	totqcov	uniq_doms	tot_doms	missing_doms	repeated_doms	max_repeated_doms	arch_size	arch	arch_types
12.1010	154	0.799	1	1	1	0	0	2	PF13359@CL0219:4-126,m:127-154	2
12.1017	173	0.983	2	2	1	0	1	3	PF00665@CL0219:1-110,PF13683@CL0219:105-164,m:165-173	22
12.1027	229	0.882	1	1	1	0	0	2	m:1-23,PF01863@CL0126:24-225	1
12.1072	345	0.904	2	2	2	0	1	4	m:1-20,PF02912@CL0298:21-82,m:83-91,PF01409@CL0040:92-341	22
12.109	328	0.893	1	1	2	0	0	3	m:1-7,PF03320@CL0171:8-300,m:301-328	1
12.1095	600	0.745	4	4	2	0	1	6	PF00009@CL0023:4-183,m:184-295,PF14492@CL0437:296-365,m:366-400,PF00679@CL0437:401-490,PF06421:491-597	2221
12.1097	50	0.800	1	1	1	0	0	2	PF13613@CL0123:1-40,m:41-50	2
12.11	183	0.885	1	1	1	0	0	2	PF01965@CL0014:1-162,m:163-183	2
12.1149	334	0.719	1	1	2	0	0	3	m:1-62,PF01715@CL0023:63-302,m:303-334	2
12.1150	434	0.790	3	3	1	0	1	4	PF01018:4-158,PF01926@CL0023:161-285,m:286-369,PF09269:370-432	212
12.1151	249	0.912	1	1	2	0	0	3	m:1-6,PF02540@CL0039:7-233,m:234-249	2
12.1153	252	0.706	2	2	3	0	1	5	m:1-19,PF13613@CL0123:20-69,m:70-96,PF13359@CL0219:97-224,m:225-252	22
12.119	91	0.802	1	1	2	0	0	3	m:1-9,PF04296:10-82,m:83-91	1
12.1211	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
12.1217	67	0.985	1	1	0	0	0	1	PF10854:1-66	1
12.1222	741	0.938	1	1	1	0	0	2	m:1-46,PF12461:47-741	1
12.125	687	0.728	3	3	4	0	1	7	m:1-5,PF00359@CL0340:6-148,m:149-166,PF02302@CL0031:167-256,m:257-298,PF02378@CL0493:299-565,m:566-687	221
12.126	310	0.745	1	1	2	0	0	3	m:1-35,PF00294@CL0118:36-266,m:267-310	2
12.1267	908	0.811	2	2	3	0	1	5	m:1-48,PF00133@CL0039:49-628,m:629-670,PF08264@CL0258:671-826,m:827-908	12
12.1270	73	0.795	1	1	2	0	0	3	m:1-10,PF04472:11-68,m:69-73	1
12.1273	313	0.990	1	1	0	0	0	1	PF01795@CL0063:2-311	1
12.1275	58	0.931	1	1	0	0	0	1	PF01783@CL0167:2-55	1
12.1292	478	0.705	1	1	2	0	0	3	m:1-19,PF00860@CL0062:20-356,m:357-478	1
12.1296	319	0.831	2	2	3	0	1	5	m:1-5,PF00551:6-171,m:172-205,PF02911:206-304,m:305-319	22
12.1317	156	0.917	2	2	1	0	1	3	PF03449:5-74,m:75-83,PF01272@CL0487:84-156	22
12.1318	56	0.768	1	1	1	0	0	2	PF11044:1-43,m:44-56	1
12.1329	318	0.962	2	2	1	0	1	3	m:1-6,PF00056@CL0063:7-145,PF02866@CL0341:149-315	22
12.1333	65	0.892	1	1	1	0	0	2	PF00830:3-60,m:61-65	1
12.1387	367	0.932	1	1	2	0	0	3	m:1-6,PF04551:7-348,m:349-367	1
12.1392	478	0.707	1	1	2	0	0	3	m:1-9,PF00224@CL0151:10-347,m:348-478	2
12.1393	327	0.838	1	1	1	0	0	2	PF00365@CL0240:4-277,m:278-327	2
12.1403	219	0.767	2	2	2	0	1	4	PF13613@CL0123:1-40,m:41-63,PF13359@CL0219:64-191,m:192-219	22
12.1441	307	0.808	1	1	2	0	0	3	m:1-24,PF01261@CL0036:25-272,m:273-307	2
12.1464	279	0.957	1	1	2	0	0	3	m:1-6,PF08282@CL0137:7-273,m:274-279	2
12.1465	40	1.000	1	1	0	0	0	1	PF11044:1-40	1
12.1471	94	0.979	1	1	0	0	0	1	PF00216@CL0548:1-92	2
12.151	154	0.799	1	1	1	0	0	2	PF13359@CL0219:4-126,m:127-154	2
12.1510	153	0.856	1	1	1	0	0	2	PF02367@CL0023:5-135,m:136-153	2
12.1518	48	0.833	1	1	1	0	0	2	PF13613@CL0123:1-40,m:41-48	2
12.154	226	0.898	1	1	2	0	0	3	m:1-5,PF00834@CL0036:6-208,m:209-226	2
12.1547	377	0.934	3	3	2	0	1	5	PF03054@CL0039:2-211,PF20259@CL0350:215-280,m:281-288,PF20258:289-364,m:365-377	222
12.155	289	0.772	2	2	1	0	1	3	PF16745@CL0021:4-59,PF03193@CL0023:62-228,m:229-289	22
12.156	337	0.727	1	1	2	0	0	3	m:1-13,PF00069@CL0016:14-258,m:259-337	2
12.1562	452	0.823	3	3	4	0	1	7	m:1-5,PF02881:6-83,m:84-99,PF00448@CL0023:100-295,m:296-325,PF02978@CL0123:326-423,m:424-452	222
12.1570	161	0.764	1	1	2	0	0	3	m:1-10,PF13359@CL0219:11-133,m:134-161	2
12.1612	185	0.903	3	3	2	0	1	5	PF08207@CL0107:3-60,m:61-68,PF01132@CL0021:69-121,m:122-128,PF09285@CL0021:129-184	222
12.1639	274	0.748	1	1	2	0	0	3	m:1-28,PF03837:29-233,m:234-274	1
12.165	547	0.874	2	2	2	0	1	4	m:1-40,PF02734:41-205,m:206-234,PF13684@CL0245:235-547	12
12.1693	154	0.799	1	1	1	0	0	2	PF13359@CL0219:4-126,m:127-154	2
12.1694	103	0.913	1	1	1	0	0	2	m:1-9,PF00085@CL0172:10-103	2
12.1703	220	0.700	2	2	2	0	1	4	m:1-57,PF00665@CL0219:58-157,m:158-163,PF13333@CL0219:164-217	21
12.1741	249	0.787	2	2	3	0	1	5	m:1-28,PF14622@CL0539:29-155,m:156-169,PF00035@CL0196:170-238,m:239-249	12
12.1742	334	0.913	1	1	1	0	0	2	PF02504@CL0270:3-307,m:308-334	1
12.1744	108	0.731	1	1	2	0	0	3	m:1-21,PF00581@CL0031:22-100,m:101-108	2
12.1745	378	0.735	2	2	2	0	1	4	PF00226@CL0392:5-66,m:67-132,PF01556:133-348,m:349-378	22
12.1746	593	0.944	1	1	1	0	0	2	PF00012@CL0108:4-563,m:564-593	1
12.1747	207	0.744	1	1	1	0	0	2	m:1-53,PF01025:54-207	1
12.1750	287	0.930	1	1	2	0	0	3	m:1-11,PF08282@CL0137:12-278,m:279-287	2
12.1803	154	0.799	1	1	1	0	0	2	PF13359@CL0219:4-126,m:127-154	2
12.1837	521	0.810	1	1	2	0	0	3	m:1-14,PF13520@CL0062:15-436,m:437-521	1
12.1840	521	0.810	1	1	2	0	0	3	m:1-14,PF13520@CL0062:15-436,m:437-521	1
12.1860	161	0.764	1	1	2	0	0	3	m:1-10,PF13359@CL0219:11-133,m:134-161	2
12.1934	472	0.947	1	1	2	0	0	3	m:1-19,PF00171@CL0099:20-466,m:467-472	1
12.1938	888	0.768	2	2	3	0	1	5	m:1-18,PF00133@CL0039:19-564,m:565-615,PF08264@CL0258:616-751,m:752-888	12
12.1951	97	0.825	1	1	2	0	0	3	m:1-11,PF01016:12-91,m:92-97	1
12.1952	104	0.933	1	1	1	0	0	2	PF04327:1-97,m:98-104	1
12.1957	293	0.969	1	1	1	0	0	2	m:1-7,PF02401:8-291	1
12.1958	247	0.850	1	1	2	0	0	3	m:1-21,PF01784:22-231,m:232-247	1
12.1971	204	0.740	2	2	2	0	1	4	m:1-44,PF00665@CL0219:45-141,m:142-147,PF13333@CL0219:148-201	21
12.1989	448	0.824	1	1	2	0	0	3	m:1-13,PF02163@CL0126:14-382,m:383-448	1
12.1990	382	0.856	3	3	3	0	1	6	PF02670@CL0063:5-131,m:132-144,PF08436@CL0139:145-226,m:227-255,PF13288@CL0063:256-373,m:374-382	122
12.1992	235	0.919	1	1	2	0	0	3	m:1-9,PF01255:10-225,m:226-235	1
12.1993	182	0.885	1	1	1	0	0	2	m:1-19,PF01765:20-180	2
12.1994	241	0.876	1	1	2	0	0	3	m:1-5,PF00696:6-216,m:217-241	1
12.2010	409	0.914	1	1	2	0	0	3	m:1-20,PF00266@CL0061:21-394,m:395-409	2
12.2013	183	0.962	1	1	1	0	0	2	m:1-5,PF01812@CL0246:6-181	1
12.2019	133	0.910	1	1	1	0	0	2	m:1-12,PF00380@CL0329:13-133	1
12.2020	146	0.815	1	1	2	0	0	3	m:1-13,PF00572:14-132,m:133-146	1
12.2021	413	0.881	1	1	2	0	0	3	m:1-13,PF00464@CL0061:14-377,m:378-413	2
12.2029	213	0.775	1	1	2	0	0	3	m:1-38,PF02390@CL0063:39-203,m:204-213	1
12.2031	70	0.771	1	1	1	0	0	2	m:1-13,PF13333@CL0219:14-67	1
12.2048	70	0.857	1	1	1	0	0	2	m:1-8,PF00403@CL0704:9-68	2
12.2053	346	0.939	1	1	2	0	0	3	m:1-10,PF06723@CL0108:11-335,m:336-346	1
12.2076	187	0.807	1	1	2	0	0	3	m:1-9,PF00719:10-160,m:161-187	2
12.2078	202	0.822	1	1	1	0	0	2	PF01712@CL0023:3-168,m:169-202	2
12.2080	182	0.890	1	1	2	0	0	3	m:1-7,PF04079@CL0123:8-169,m:170-182	1
12.2081	253	0.874	1	1	2	0	0	3	m:1-23,PF02616@CL0157:24-244,m:245-253	1
12.2084	160	0.912	1	1	1	0	0	2	PF00186@CL0387:1-146,m:147-160	2
12.2085	310	0.926	1	1	1	0	0	2	m:1-23,PF00303:24-310	2
12.2108	525	0.964	1	1	1	0	0	2	PF01676@CL0088:5-510,m:511-525	1
12.2114	335	0.887	2	2	3	0	1	5	m:1-7,PF01210@CL0063:8-162,m:163-184,PF07479@CL0106:185-326,m:327-335	12
12.2115	438	0.715	2	3	3	1	2	6	m:1-6,PF01926@CL0023:7-122,m:123-180,PF01926@CL0023:181-296,m:297-354,PF14714:355-435	112
12.2116	222	0.946	1	1	1	0	0	2	PF02224@CL0023:5-214,m:215-222	2
12.2126	274	0.748	1	1	2	0	0	3	m:1-28,PF03837:29-233,m:234-274	1
12.2152	121	0.934	2	2	1	0	1	3	PF16320:4-50,m:51-55,PF00542:56-121	22
12.2156	46	0.870	1	1	1	0	0	2	PF11044:1-40,m:41-46	1
12.2166	277	0.758	2	2	2	0	1	4	PF01149:1-118,m:119-134,PF06831@CL0303:135-226,m:227-277	22
12.2167	296	0.966	1	1	1	0	0	2	m:1-9,PF01116@CL0036:10-295	2
12.2249	154	0.799	1	1	1	0	0	2	PF13359@CL0219:4-126,m:127-154	2
12.2259	396	0.904	3	3	2	0	1	5	m:1-10,PF00009@CL0023:11-202,m:203-225,PF03144@CL0575:226-296,PF03143:300-394	222
12.2260	692	0.892	5	5	4	0	1	9	m:1-7,PF00009@CL0023:8-280,m:281-320,PF03144@CL0575:321-388,m:389-400,PF14492@CL0437:401-474,PF03764@CL0329:476-594,PF00679@CL0437:597-679,m:680-692	22222
12.2261	155	0.948	1	1	1	0	0	2	PF00177:2-148,m:149-155	2
12.2281	67	1.000	1	1	0	0	0	1	PF10854:1-67	1
