query	qlen	totqcov	uniq_doms	tot_doms	missing_doms	repeated_doms	max_repeated_doms	arch_size	arch	arch_types
94.1	335	0.833	2	2	2	0	1	4	PF00308@CL0023:1-210,m:211-241,PF08299@CL0123:242-310,m:311-335	22
94.101	163	0.810	1	1	2	0	0	3	m:1-5,PF13358@CL0219:6-137,m:138-163	2
94.1016	156	0.750	1	1	1	0	0	2	m:1-38,PF05913@CL0475:39-155	2
94.1023	179	0.737	1	1	1	0	0	2	PF13358@CL0219:5-136,m:137-179	2
94.1025	412	0.813	1	1	2	0	0	3	m:1-34,PF00872@CL0219:35-369,m:370-412	1
94.1033	365	0.904	1	1	1	0	0	2	PF00872@CL0219:2-331,m:332-365	1
94.1044	196	0.867	1	1	2	0	0	3	m:1-13,PF01327:14-183,m:184-196	2
94.1045	185	0.941	1	1	1	0	0	2	PF03602@CL0063:1-174,m:175-185	1
94.1046	192	0.953	1	1	1	0	0	2	PF00625@CL0023:5-187,m:188-192	2
94.105	411	0.837	1	1	2	0	0	3	m:1-33,PF00872@CL0219:34-377,m:378-411	1
94.1050	627	0.970	2	2	2	0	1	4	m:1-6,PF01134@CL0063:7-398,PF13932:400-615,m:616-627	12
94.1079	305	0.984	1	1	1	0	0	2	PF01795@CL0063:1-300,m:301-305	1
94.1099	184	0.832	1	1	2	0	0	3	m:1-10,PF00719:11-163,m:164-184	2
94.1112	520	0.804	1	1	1	0	0	2	m:1-98,PF00709@CL0023:99-516	2
94.1114	162	0.821	1	1	1	0	0	2	PF13358@CL0219:4-136,m:137-162	2
94.1127	140	0.786	1	1	1	0	0	2	PF13358@CL0219:5-114,m:115-140	2
94.1142	719	0.759	1	1	2	0	0	3	m:1-17,PF00133@CL0039:18-563,m:564-719	1
94.1145	341	0.842	1	1	1	0	0	2	PF00579@CL0039:3-289,m:290-341	1
94.1146	295	0.895	1	1	2	0	0	3	m:1-11,PF08282@CL0137:12-275,m:276-295	2
94.1169	274	0.942	1	1	2	0	0	3	m:1-5,PF08282@CL0137:6-263,m:264-274	2
94.117	307	0.997	1	1	0	0	0	1	PF00872@CL0219:2-307	1
94.1174	149	0.893	1	1	1	0	0	2	PF13358@CL0219:4-136,m:137-149	2
94.1182	640	0.761	4	4	5	0	1	9	m:1-35,PF02518@CL0025:36-177,m:178-224,PF00204@CL0329:225-395,m:396-423,PF01751@CL0413:424-534,m:535-567,PF00986:568-630,m:631-640	2211
94.1184	479	0.933	1	1	2	0	0	3	m:1-22,PF00171@CL0099:23-469,m:470-479	1
94.1185	316	0.972	2	2	0	0	1	2	PF00056@CL0063:5-144,PF02866@CL0341:147-313	22
94.1195	412	0.857	1	1	2	0	0	3	m:1-34,PF00872@CL0219:35-387,m:388-412	1
94.1207	148	0.764	1	1	2	0	0	3	m:1-30,PF12762@CL0219:31-143,m:144-148	2
94.1215	143	0.965	1	1	0	0	0	1	PF01668:4-141	1
94.1228	412	0.859	1	1	2	0	0	3	m:1-34,PF00872@CL0219:35-388,m:389-412	1
94.1243	228	0.890	1	1	2	0	0	3	m:1-6,PF00834@CL0036:7-209,m:210-228	2
94.1250	153	0.869	1	1	1	0	0	2	PF13358@CL0219:4-136,m:137-153	2
94.1252	460	0.741	1	1	2	0	0	3	m:1-68,PF07690@CL0015:69-409,m:410-460	1
94.1254	412	0.835	1	1	2	0	0	3	m:1-34,PF00872@CL0219:35-378,m:379-412	1
94.1261	162	0.821	1	1	1	0	0	2	PF13358@CL0219:4-136,m:137-162	2
94.1282	408	0.833	1	1	2	0	0	3	m:1-34,PF00872@CL0219:35-374,m:375-408	1
94.1296	156	0.891	1	1	1	0	0	2	PF12762@CL0219:5-143,m:144-156	2
94.131	156	0.827	1	1	1	0	0	2	PF13358@CL0219:3-131,m:132-156	2
94.1318	384	0.802	2	2	3	0	1	5	m:1-46,PF02588@CL0181:47-299,m:300-305,PF10035@CL0089:306-360,m:361-384	12
94.1326	358	0.922	1	1	1	0	0	2	PF00872@CL0219:2-331,m:332-358	1
94.1338	63	0.841	1	1	1	0	0	2	PF00830:3-55,m:56-63	1
94.1340	162	0.821	1	1	1	0	0	2	PF13358@CL0219:4-136,m:137-162	2
94.1343	173	0.844	2	2	2	0	1	4	m:1-9,PF03449:10-80,m:81-94,PF01272@CL0487:95-169	22
94.1344	406	0.847	1	1	2	0	0	3	m:1-33,PF00872@CL0219:34-377,m:378-406	1
94.1348	471	0.741	1	1	2	0	0	3	m:1-117,PF00152@CL0040:118-466,m:467-471	2
94.1355	920	0.835	2	2	3	0	1	5	m:1-27,PF00133@CL0039:28-635,m:636-684,PF08264@CL0258:685-844,m:845-920	12
94.136	173	0.705	1	1	1	0	0	2	PF00210@CL0044:2-123,m:124-173	2
94.1375	126	0.881	2	2	1	0	1	3	PF16320:5-45,m:46-56,PF00542:57-126	22
94.1379	162	0.821	1	1	1	0	0	2	PF13358@CL0219:4-136,m:137-162	2
94.1383	365	0.904	1	1	1	0	0	2	PF00872@CL0219:2-331,m:332-365	1
94.1385	201	0.736	2	2	3	0	1	5	m:1-40,PF00665@CL0219:41-134,m:135-140,PF13333@CL0219:141-194,m:195-201	21
94.1400	287	0.972	1	1	1	0	0	2	PF02645@CL0245:2-280,m:281-287	1
94.1404	412	0.806	1	1	2	0	0	3	m:1-37,PF00872@CL0219:38-369,m:370-412	1
94.1405	580	0.883	2	2	3	0	1	5	m:1-23,PF01336@CL0021:24-103,m:104-120,PF00152@CL0040:121-552,m:553-580	22
94.1406	430	0.709	1	1	2	0	0	3	m:1-7,PF13393@CL0040:8-312,m:313-430	2
94.1418	293	0.956	1	1	1	0	0	2	PF02645@CL0245:4-283,m:284-293	1
94.1419	153	0.797	1	1	2	0	0	3	m:1-16,PF01475@CL0123:17-138,m:139-153	1
94.143	141	0.936	1	1	1	0	0	2	PF13358@CL0219:5-136,m:137-141	2
94.1432	868	0.912	4	4	3	0	1	7	m:1-22,PF07972@CL0042:23-143,m:144-170,PF08343:171-246,PF00317:249-322,PF02867@CL0339:327-847,m:848-868	2121
94.1433	339	0.794	1	1	2	0	0	3	m:1-27,PF00268@CL0044:28-296,m:297-339	2
94.1436	192	0.927	1	1	1	0	0	2	PF01121@CL0023:1-178,m:179-192	2
94.1437	312	0.901	1	1	2	0	0	3	m:1-21,PF00814@CL0108:22-302,m:303-312	1
94.1438	275	0.764	1	1	2	0	0	3	m:1-20,PF01048@CL0408:21-230,m:231-275	2
94.1449	306	0.817	1	1	2	0	0	3	m:1-17,PF02653@CL0142:18-267,m:268-306	1
94.1465	179	0.804	1	1	2	0	0	3	m:1-7,PF00359@CL0340:8-151,m:152-179	2
94.1484	69	0.725	1	1	1	0	0	2	PF01783@CL0167:2-51,m:52-69	1
94.15	639	0.701	4	4	5	0	1	9	m:1-35,PF02518@CL0025:36-138,m:139-224,PF00204@CL0329:225-395,m:396-424,PF01751@CL0413:425-537,m:538-567,PF00986:568-628,m:629-639	2211
