query	qlen	totqcov	uniq_doms	tot_doms	missing_doms	repeated_doms	max_repeated_doms	arch_size	arch	arch_types
37.1000	478	0.707	1	1	2	0	0	3	m:1-9,PF00224@CL0151:10-347,m:348-478	2
37.1014	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
37.1024	176	0.881	2	2	2	0	1	4	m:1-13,PF05198:14-83,m:84-90,PF00707:91-175	22
37.1025	64	0.953	1	1	0	0	0	1	PF01632:2-62	1
37.1026	119	0.899	1	1	1	0	0	2	PF00453:3-109,m:110-119	1
37.1054	377	0.934	3	3	2	0	1	5	PF03054@CL0039:2-211,PF20259@CL0350:215-280,m:281-288,PF20258:289-364,m:365-377	222
37.1061	236	0.729	1	1	2	0	0	3	m:1-13,PF01048@CL0408:14-185,m:186-236	2
37.1062	207	0.778	1	1	1	0	0	2	PF01712@CL0023:3-163,m:164-207	2
37.1063	661	0.755	2	2	3	0	1	5	m:1-7,PF00456@CL0254:8-333,m:334-350,PF02779@CL0254:351-523,m:524-661	22
37.1064	206	0.738	1	1	2	0	0	3	m:1-10,PF01081@CL0036:11-162,m:163-206	2
37.1086	311	0.772	1	1	2	0	0	3	m:1-39,PF01715@CL0023:40-279,m:280-311	2
37.1096	434	0.790	3	3	1	0	1	4	PF01018:4-158,PF01926@CL0023:161-285,m:286-369,PF09269:370-432	212
37.1097	250	0.896	1	1	2	0	0	3	m:1-10,PF02540@CL0039:11-234,m:235-250	2
37.1154	371	0.809	1	1	2	0	0	3	m:1-62,PF00657@CL0264:63-362,m:363-371	1
37.1162	314	0.825	1	1	2	0	0	3	m:1-12,PF08282@CL0137:13-271,m:272-314	2
37.1178	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
37.1186	157	0.981	1	1	0	0	0	1	PF02464:2-155	1
37.1203	444	0.908	1	1	2	0	0	3	m:1-18,PF03611:19-421,m:422-444	1
37.1205	168	0.929	1	1	1	0	0	2	m:1-8,PF00834@CL0036:9-164	2
37.1207	418	0.938	2	2	2	0	1	4	m:1-7,PF13393@CL0040:8-308,m:309-325,PF03129@CL0458:326-416	22
37.1208	577	0.893	2	2	3	0	1	5	m:1-18,PF01336@CL0021:19-100,m:101-117,PF00152@CL0040:118-550,m:551-577	22
37.1210	71	0.789	1	1	1	0	0	2	m:1-12,PF03672:13-68	1
37.1222	116	0.776	1	1	2	0	0	3	m:1-5,PF02911:6-95,m:96-116	2
37.1237	269	0.855	2	2	2	0	1	4	PF01479@CL0492:3-50,m:51-58,PF01728@CL0063:59-240,m:241-269	21
37.1242	200	0.970	1	1	0	0	0	1	PF02525@CL0042:4-197	2
37.1249	364	0.940	1	1	2	0	0	3	m:1-6,PF04551:7-348,m:349-364	1
37.1251	308	0.701	1	1	2	0	0	3	m:1-72,PF01261@CL0036:73-288,m:289-308	2
37.1257	156	0.917	2	2	1	0	1	3	PF03449:5-74,m:75-83,PF01272@CL0487:84-156	22
37.1258	216	0.815	1	1	2	0	0	3	m:1-13,PF00485@CL0023:14-189,m:190-216	2
37.1262	185	0.903	3	3	2	0	1	5	PF08207@CL0107:3-60,m:61-68,PF01132@CL0021:69-121,m:122-128,PF09285@CL0021:129-184	222
37.1329	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
37.1351	592	0.728	2	2	2	0	1	4	PF13292@CL0254:3-272,m:273-300,PF02779@CL0254:301-461,m:462-592	12
37.1353	73	0.712	1	1	2	0	0	3	m:1-6,PF02609:7-58,m:59-73	1
37.1354	430	0.895	2	2	3	0	1	5	m:1-5,PF13742@CL0021:6-97,m:98-123,PF02601:124-416,m:417-430	21
37.1360	537	0.933	1	1	2	0	0	3	m:1-21,PF00118:22-522,m:523-537	1
37.1361	90	0.989	1	1	0	0	0	1	PF00166@CL0296:1-89	2
37.1374	157	0.745	1	1	2	0	0	3	m:1-9,PF13359@CL0219:10-126,m:127-157	2
37.1387	175	0.806	1	1	2	0	0	3	m:1-7,PF13302@CL0257:8-148,m:149-175	2
37.1388	655	0.916	3	3	3	0	1	6	PF00456@CL0254:2-322,m:323-342,PF02779@CL0254:343-515,m:516-537,PF02780@CL0591:538-643,m:644-655	222
37.1402	731	0.943	1	1	1	0	0	2	m:1-42,PF12461:43-731	1
37.1407	67	1.000	1	1	0	0	0	1	PF10854:1-67	1
37.141	160	0.769	1	1	2	0	0	3	m:1-10,PF00358@CL0105:11-133,m:134-160	2
37.1410	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
37.1413	88	0.920	1	1	1	0	0	2	m:1-6,PF00312@CL0600:7-87	2
37.1414	295	0.885	2	2	2	0	1	4	m:1-9,PF06574@CL0039:10-156,m:157-177,PF01687:178-291	12
37.1421	577	0.837	3	3	4	0	1	7	m:1-5,PF05524:6-127,m:128-152,PF00391@CL0364:153-226,m:227-256,PF02896@CL0151:257-543,m:544-577	122
37.143	667	0.816	5	5	4	0	1	9	PF01653@CL0078:4-314,PF03120@CL0021:318-395,m:396-402,PF03119:403-428,m:429-506,PF12826@CL0198:507-568,m:569-592,PF00533@CL0459:593-659,m:660-667	22251
37.144	97	0.742	1	1	2	0	0	3	m:1-19,PF02686:20-91,m:92-97	1
37.1446	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
37.145	491	0.874	1	1	2	0	0	3	m:1-33,PF01425:34-462,m:463-491	1
37.146	480	0.871	2	2	3	0	1	5	m:1-5,PF02934@CL0286:6-287,m:288-327,PF02637@CL0279:328-463,m:464-480	22
37.1463	254	0.807	1	1	1	0	0	2	PF03309@CL0108:3-207,m:208-254	1
37.1464	248	0.718	1	1	2	0	0	3	m:1-37,PF04127@CL0063:38-215,m:216-248	1
37.1465	150	0.940	1	1	1	0	0	2	PF02441:3-143,m:144-150	1
37.1468	535	0.989	1	1	1	0	0	2	PF01268@CL0023:1-529,m:530-535	1
37.1470	286	0.951	2	2	2	0	1	4	m:1-6,PF00763@CL0603:7-122,PF02882@CL0063:125-280,m:281-286	22
37.1471	112	0.920	1	1	1	0	0	2	m:1-5,PF02033@CL0494:6-108	1
37.1477	131	0.702	1	1	1	0	0	2	PF00383@CL0109:4-95,m:96-131	2
37.1478	142	0.746	1	1	2	0	0	3	m:1-20,PF01219:21-126,m:127-142	1
37.1479	160	0.713	1	1	2	0	0	3	m:1-38,PF02130@CL0126:39-152,m:153-160	1
37.148	524	0.784	1	1	2	0	0	3	m:1-89,PF02386@CL0030:90-500,m:501-524	1
37.1515	49	0.959	1	1	0	0	0	1	PF00471@CL0167:3-49	1
37.1531	229	0.882	1	1	1	0	0	2	m:1-23,PF01863@CL0126:24-225	1
37.154	74	0.703	1	1	2	0	0	3	m:1-17,PF00550@CL0314:18-69,m:70-74	2
37.1572	319	0.859	2	2	3	0	1	5	m:1-5,PF00551:6-180,m:181-205,PF02911:206-304,m:305-319	22
37.1576	423	0.752	1	1	2	0	0	3	m:1-100,PF00145@CL0063:101-418,m:419-423	2
37.1581	238	0.971	1	1	0	0	0	1	PF01709:5-235	1
37.1584	141	0.702	1	1	2	0	0	3	m:1-20,PF00583@CL0257:21-119,m:120-141	1
37.1586	153	0.856	1	1	1	0	0	2	PF02367@CL0023:5-135,m:136-153	2
37.1611	179	0.737	1	1	2	0	0	3	m:1-12,PF00210@CL0044:13-144,m:145-179	2
37.1650	168	0.780	2	2	2	0	1	4	m:1-27,PF00665@CL0219:28-105,m:106-111,PF13333@CL0219:112-164	21
37.166	216	0.755	1	1	2	0	0	3	m:1-40,PF02390@CL0063:41-203,m:204-216	1
37.1682	213	0.864	1	1	2	0	0	3	m:1-12,PF00753@CL0381:13-196,m:197-213	2
37.1686	465	0.800	1	1	2	0	0	3	m:1-38,PF13520@CL0062:39-410,m:411-465	1
37.1711	280	0.954	1	1	2	0	0	3	m:1-6,PF08282@CL0137:7-273,m:274-280	2
37.172	413	0.903	1	1	1	0	0	2	PF00464@CL0061:5-377,m:378-413	2
37.173	146	0.808	1	1	2	0	0	3	m:1-13,PF00572:14-131,m:132-146	1
37.1737	67	1.000	1	1	0	0	0	1	PF10854:1-67	1
37.174	133	0.910	1	1	1	0	0	2	m:1-12,PF00380@CL0329:13-133	1
37.1740	49	0.939	1	1	0	0	0	1	PF11044:1-46	1
37.1769	197	0.741	2	2	2	0	1	4	m:1-41,PF00665@CL0219:42-134,m:135-140,PF13333@CL0219:141-193	21
37.1801	263	0.840	1	1	1	0	0	2	PF19200:2-222,m:223-263	2
37.1815	169	0.929	1	1	2	0	0	3	m:1-6,PF03838@CL0236:7-163,m:164-169	2
37.1817	90	1.000	1	1	0	0	0	1	PF00216@CL0548:1-90	2
37.1838	149	0.966	1	1	1	0	0	2	PF04452@CL0098:1-144,m:145-149	2
37.186	511	0.734	1	1	2	0	0	3	m:1-108,PF00375:109-483,m:484-511	1
37.1860	249	0.892	1	1	2	0	0	3	m:1-13,PF00230@CL0716:14-235,m:236-249	1
37.1861	392	0.921	1	1	2	0	0	3	m:1-6,PF01266@CL0063:7-367,m:368-392	2
37.1862	503	0.875	2	2	2	0	1	4	PF00370@CL0108:4-254,m:255-263,PF02782@CL0108:264-452,m:453-503	22
37.1865	458	0.959	2	2	2	0	1	4	PF03952@CL0227:4-134,m:135-141,PF00113@CL0256:142-449,m:450-458	22
37.1866	340	0.859	1	1	1	0	0	2	PF00579@CL0039:1-292,m:293-340	1
37.188	214	0.757	1	1	2	0	0	3	m:1-6,PF00881@CL0529:7-168,m:169-214	2
