#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	171	335	-	GCA_017847675_00001	6.5	8.4		SO:0001217, UniRef:UniRef50_UPI00313E235E, UniRef:UniRef90_UPI0030D3CD9B
contig_1	397	537	-	GCA_017847675_00002	5.1	9.2		SO:0001217, UniRef:UniRef50_UPI001E6361A9, UniRef:UniRef90_UPI001E6361A9
contig_1	645	998	-	GCA_017847675_00003	13.8	9.1		SO:0001217, UniRef:UniRef50_UPI00157B6908, UniRef:UniRef90_UPI00157B6908
contig_1	991	1833	-	GCA_017847675_00004	33.3	9.5		SO:0001217, UniRef:UniRef50_UPI00313D9DD4, UniRef:UniRef90_UPI00313D9DD4
contig_1	3072	3284	+	GCA_017847675_00006	8.5	7.8		
contig_2	401	2308	+	GCA_017847675_00007	75.0	9.6		SO:0001217, UniRef:UniRef50_UPI0030D56E81, UniRef:UniRef90_UPI0030D56E81
contig_2	2499	2681	+	GCA_017847675_00008	7.5	9.7		SO:0001217, UniRef:UniRef50_UPI0013CC30A3, UniRef:UniRef90_UPI0013CC30A3
contig_2	3200	3409	+	GCA_017847675_00010	7.9	9.3	PF00485.24|PRK, PF06414.18|Zeta_toxin	PFAM:PF00485.24, PFAM:PF06414.18
contig_3	3068	3571	+	GCA_017847675_00016	17.8	9.7		SO:0001217, UniRef:UniRef50_UPI00157AA5A0
contig_3	3721	3879	+	GCA_017847675_00017	6.0	10.2		
contig_4	1752	2219	+	GCA_017847675_00019	18.5	9.4		RefSeq:WP_252320279.1, SO:0001217, UniParc:UPI001219B1AD, UniRef:UniRef100_UPI001219B1AD, UniRef:UniRef50_UPI00157A9670, UniRef:UniRef90_UPI00313DF8BA
contig_4	6017	6235	+	GCA_017847675_00021	8.2	6.8	PF00023.36|Ank, PF13637.12|Ank_4	PFAM:PF00023.36, PFAM:PF13637.12
contig_5	2281	2472	-	GCA_017847675_00023	7.6	9.1		RefSeq:WP_252320980.1, SO:0001217, UniParc:UPI001E189B3B, UniRef:UniRef100_UPI001E189B3B, UniRef:UniRef50_UPI001E189B3B, UniRef:UniRef90_UPI001E189B3B
contig_5	2723	3073	+	GCA_017847675_00024	14.0	9.6		SO:0001217, UniRef:UniRef50_UPI0030CFFF1C, UniRef:UniRef90_UPI0030CFFF1C
contig_5	3057	3569	+	GCA_017847675_00025	20.3	9.0		SO:0001217, UniRef:UniRef50_UPI0030D09A66, UniRef:UniRef90_UPI0030D09A66
contig_6	2993	3244	-	GCA_017847675_00027	9.5	9.5		RefSeq:WP_400254543.1, SO:0001217, UniParc:UPI001E107642, UniRef:UniRef100_UPI001E107642, UniRef:UniRef50_UPI00157AA7A5, UniRef:UniRef90_UPI00157A5C4A
contig_7	489	3041	-	GCA_017847675_00028	98.7	6.9	PF21787.3|TNP-like_RNaseH_N	PFAM:PF21787.3
contig_7	3700	3966	-	GCA_017847675_00029	NA	5.8		
contig_7	3992	4696	-	GCA_017847675_00030	26.9	5.4		
