# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	171	335	-	GCA_017847675_00001	106.0	1.8e-29	1.0	1.0	0.926	UniRef:UniRef90_UPI0030D3CD9B
contig_1	cds	397	537	-	GCA_017847675_00002	100.0	5.3e-27	1.0	0.836	0.978	UniRef:UniRef90_UPI001E6361A9
contig_1	cds	645	998	-	GCA_017847675_00003	222.0	1.9e-73	1.0	1.0	0.991	UniRef:UniRef90_UPI00157B6908
contig_1	cds	991	1833	-	GCA_017847675_00004	456.0	3.1e-160	0.921	0.819	0.953	UniRef:UniRef90_UPI00313D9DD4
contig_1	cds	2064	3011	+	GCA_017847675_00005	578.0	1.3e-207	1.0	1.0	0.902	UniRef:UniRef90_UPI0025761FDC
contig_1	cds	3072	3284	+	GCA_017847675_00006	-	-	-	-	-	-
contig_2	cds	401	2308	+	GCA_017847675_00007	1097.0	0.0	0.994	0.960	0.908	UniRef:UniRef90_UPI0030D56E81
contig_2	cds	2499	2681	+	GCA_017847675_00008	54.3	1.5e-08	1.0	1.0	0.917	UniRef:UniRef90_UPI0013CC30A3
contig_2	cds	2758	3183	+	GCA_017847675_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00157B20A2
contig_2	cds	3200	3409	+	GCA_017847675_00010	-	-	-	-	-	-
contig_2	cds	3397	3819	+	GCA_017847675_00011	248.0	1.7e-82	1.0	0.833	0.893	UniRef:UniRef90_UPI0027DEE0DB
contig_3	cds	185	1357	-	GCA_017847675_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001D4A19BE
contig_3	cds	1460	1747	-	GCA_017847675_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00157BB093
contig_3	cds	1750	2061	-	GCA_017847675_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001D536676
contig_3	cds	2081	2686	-	GCA_017847675_00015	360.0	2.7e-125	1.0	1.0	0.970	UniRef:UniRef90_UPI0030CD65CB
contig_3	ncRNA-region	2698	2770	-	-	41.0	4.8e-06	-	-	-	RFAM:RF00559
contig_3	cds	3068	3571	+	GCA_017847675_00016	267.0	1.4e-89	0.970	0.931	0.889	UniRef:UniRef90_UPI0030D3E8A4
contig_3	cds	3721	3879	+	GCA_017847675_00017	-	-	-	-	-	-
contig_4	cds	473	1456	-	GCA_017847675_00018	615.0	6.1e-222	1.009	1.0	0.970	UniRef:UniRef90_UPI00313F30F2
contig_4	cds	1752	2219	+	GCA_017847675_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001219B1AD
contig_4	cds	2585	5707	-	GCA_017847675_00020	1965.0	0.0	0.984	1.0	0.985	UniRef:UniRef90_UPI00157B5BC3
contig_4	cds	6017	6235	+	GCA_017847675_00021	-	-	-	-	-	-
contig_5	cds	321	2135	+	GCA_017847675_00022	1170.0	0.0	1.0	1.0	0.997	UniRef:UniRef90_UPI0034CDE5AD
contig_5	cds	2281	2472	-	GCA_017847675_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001E189B3B
contig_5	cds	2723	3073	+	GCA_017847675_00024	181.0	5.6e-57	0.862	0.847	1.0	UniRef:UniRef90_UPI0030CFFF1C
contig_5	cds	3057	3569	+	GCA_017847675_00025	303.0	1.0e-103	1.012	1.0	0.971	UniRef:UniRef90_UPI0030D09A66
contig_6	cds	325	3012	-	GCA_017847675_00026	1709.0	0.0	1.0	1.0	0.988	UniRef:UniRef90_UPI00157A4510
contig_6	cds	2993	3244	-	GCA_017847675_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001E107642
contig_7	cds	489	3041	-	GCA_017847675_00028	-	-	-	-	-	-
contig_7	cds	3700	3966	-	GCA_017847675_00029	-	-	-	-	-	-
contig_7	cds	3992	4696	-	GCA_017847675_00030	-	-	-	-	-	-
contig_8	cds	61	510	-	GCA_017847675_00031	109.0	8.4e-28	0.872	0.890	0.985	UniRef:UniRef90_UPI0030D2A0F9
contig_8	cds	669	2552	-	GCA_017847675_00032	1207.0	0.0	1.0	0.943	0.982	UniRef:UniRef90_UPI00313D9BF3
contig_8	cds	2838	2966	-	GCA_017847675_00033	-	-	-	-	-	-
