#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	102	482	+	GCA_965226525_0001	14.3	8.8		
contig_1	654	1295	+	GCA_965226525_0003	24.6	9.7		
contig_1	1261	1881	+	GCA_965226525_0004	24.9	9.2	PF13521.12|AAA_28	PFAM:PF13521.12
contig_1	1853	2302	+	GCA_965226525_0005	17.5	5.8	PF02367.23|TsaE	PFAM:PF02367.23
contig_1	2303	2869	+	GCA_965226525_0006	22.1	9.8		
contig_1	2897	5242	+	GCA_965226525_0007	90.6	9.5	PF00133.28|tRNA-synt_1, PF08264.19|Anticodon_1, PF13603.12|tRNA-synt_1_2	PFAM:PF00133.28, PFAM:PF08264.19, PFAM:PF13603.12
contig_1	5319	5669	+	GCA_965226525_0008	13.7	9.4	PF01381.28|HTH_3	PFAM:PF01381.28
contig_1	5694	6338	+	GCA_965226525_0009	24.9	9.2		
contig_1	6387	7394	+	GCA_965226525_0010	40.0	9.2		
contig_1	7400	9808	+	GCA_965226525_0011	92.4	9.6	PF00533.33|BRCT, PF01653.23|DNA_ligase_aden, PF03120.22|DNA_ligase_OB, PF12826.13|HHH_2	PFAM:PF00533.33, PFAM:PF01653.23, PFAM:PF03120.22, PFAM:PF12826.13
contig_1	10384	12429	+	GCA_965226525_0012	80.1	8.9		
contig_1	13286	13432	+	GCA_965226525_0013	5.4	6.1		
contig_1	13480	13575	+	GCA_965226525_0014	3.7	8.1		
contig_1	13977	15551	+	GCA_965226525_0015	59.7	6.8		
contig_1	16627	18213	+	GCA_965226525_0016	61.6	9.4	PF01555.25|N6_N4_Mtase	PFAM:PF01555.25
contig_1	18220	20601	+	GCA_965226525_0017	93.4	8.9	PF00270.35|DEAD	PFAM:PF00270.35
contig_1	22091	23677	+	GCA_965226525_0018	61.2	9.5	PF01555.25|N6_N4_Mtase	PFAM:PF01555.25
contig_1	23684	26068	+	GCA_965226525_0019	93.8	8.8	PF00270.35|DEAD	PFAM:PF00270.35
contig_1	26403	26546	-	GCA_965226525_0020	5.5	8.0		
contig_1	26622	26999	+	GCA_965226525_0021	14.5	9.7	PF01250.22|Ribosomal_S6	PFAM:PF01250.22
contig_1	27022	28035	+	GCA_965226525_0022	37.9	9.4	PF00156.33|Pribosyltran, PF13793.12|Pribosyltran_N, PF14572.12|Pribosyl_synth	PFAM:PF00156.33, PFAM:PF13793.12, PFAM:PF14572.12
contig_1	27983	29926	+	GCA_965226525_0023	73.7	9.5	PF00709.27|Adenylsucc_synt, PF01195.25|Pept_tRNA_hydro	PFAM:PF00709.27, PFAM:PF01195.25
contig_1	30001	30240	-	GCA_965226525_0024	9.2	9.9		
contig_1	30484	31776	+	GCA_965226525_0025	50.5	8.4		
contig_1	32071	32724	-	GCA_965226525_0026	25.6	9.4		
contig_1	33659	35239	+	GCA_965226525_0027	60.2	9.4		
contig_1	35375	35482	+	GCA_965226525_0028	4.0	9.1		
contig_1	35727	37103	+	GCA_965226525_0029	52.2	9.3		
contig_1	37235	37342	+	GCA_965226525_0030	4.0	9.6		
contig_1	37344	37562	+	GCA_965226525_0031	8.8	9.8		
contig_1	37575	38906	+	GCA_965226525_0032	50.3	8.9		
contig_1	39006	39338	+	GCA_965226525_0033	13.1	7.9		
contig_1	39331	40770	+	GCA_965226525_0034	54.2	9.6	PF01425.27|Amidase	PFAM:PF01425.27
contig_1	40760	42475	+	GCA_965226525_0035	66.8	9.4	PF02934.20|GatB_N	PFAM:PF02934.20
contig_1	42472	43926	-	GCA_965226525_0036	55.1	9.4		
contig_1	43991	44674	+	GCA_965226525_0037	25.7	6.7	PF02254.24|TrkA_N	PFAM:PF02254.24
contig_1	44851	45153	+	GCA_965226525_0038	11.4	6.1	PF00085.26|Thioredoxin	PFAM:PF00085.26
contig_1	46199	47740	+	GCA_965226525_0047	56.7	9.4	PF00883.26|Peptidase_M17	PFAM:PF00883.26
contig_1	48968	49150	+	GCA_965226525_0049	7.1	11.4		
contig_1	49265	51511	+	GCA_965226525_0050	86.2	9.5	PF01396.24|Zn_ribbon_Top1	PFAM:PF01396.24
contig_1	51595	52299	+	GCA_965226525_0051	27.3	9.1		
contig_1	52381	53208	+	GCA_965226525_0052	31.5	9.3	PF25025.1|EF-Ts_N	PFAM:PF25025.1
contig_1	53218	53928	+	GCA_965226525_0053	27.6	8.7		
contig_1	53947	54666	+	GCA_965226525_0054	26.4	9.2		
contig_1	54650	55201	+	GCA_965226525_0055	21.8	9.3	PF01765.24|RRF	PFAM:PF01765.24
contig_1	55306	59502	+	GCA_965226525_0056	162.1	9.3	PF00929.31|RNase_T, PF07733.18|DNA_pol3_alpha, PF13482.12|RNase_H_2, PF14579.12|HHH_6, PF17657.6|DNA_pol3_finger	PFAM:PF00929.31, PFAM:PF07733.18, PFAM:PF13482.12, PFAM:PF14579.12, PFAM:PF17657.6
