# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	47	547	-	GCA_005795965_0001		(pseudo) ankyrin repeat domain-containing protein	SO:0001217, UniRef:UniRef50_UPI00313DD76A, UniRef:UniRef90_UPI0030CE041E
contig_1	cds	758	1024	-	GCA_005795965_0002	rpsO	30S ribosomal protein S15	GO:0003735, GO:0005840, GO:0006412, SO:0001217, UniRef:UniRef50_A0A846TWE9, UniRef:UniRef90_UPI00157B2140
contig_1	cds	1192	1905	-	GCA_005795965_0003	plsY	glycerol-3-phosphate 1-O-acyltransferase PlsY	EC:2.3.1.15, EC:2.3.1.275, GO:0005886, GO:0006654, GO:0008374, KEGG:K08591, RefSeq:WP_252319945.1, SO:0001217, UniParc:UPI0013CA324D, UniRef:UniRef100_UPI001220407C, UniRef:UniRef50_A0A846U4K2, UniRef:UniRef90_UPI001220407C
contig_1	cds	1948	2253	-	GCA_005795965_0004		SemiSWEET family sugar transporter	RefSeq:WP_281748102.1, SO:0001217, UniParc:UPI0012268350, UniRef:UniRef100_UPI0012268350, UniRef:UniRef50_UPI00157AC33C, UniRef:UniRef90_UPI00157AC33C
contig_1	cds	2246	2536	-	GCA_005795965_0005		PQ-loop domain-containing transporter	SO:0001217, UniRef:UniRef50_UPI0020229C88, UniRef:UniRef90_UPI00313B7447
contig_1	cds	2654	2818	-	GCA_005795965_0006		hypothetical protein	RefSeq:WP_174481051.1, SO:0001217, UniParc:UPI00157AC9A1, UniRef:UniRef100_UPI00157AC9A1, UniRef:UniRef50_UPI00313E235E, UniRef:UniRef90_UPI00313E235E
contig_1	cds	2880	3020	-	GCA_005795965_0007		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001E6361A9, UniRef:UniRef90_UPI001E6361A9
contig_1	cds	3129	3815	-	GCA_005795965_0008		(pseudo) Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A2P6FE36, UniRef:UniRef50_R4U708, UniRef:UniRef90_UPI0025753479
contig_1	cds	3914	4240	-	GCA_005795965_0009		hypothetical protein	
contig_2	cds	1	174	+	GCA_005795965_0010		hypothetical protein	
contig_2	cds	174	494	+	GCA_005795965_0011	infA	translation initiation factor IF-1	GO:0003743, GO:0006413, KEGG:K02518, RefSeq:WP_348774424.1, SO:0001217, UniParc:UPI001224C906, UniRef:UniRef100_UPI001224C906, UniRef:UniRef50_UPI00157AE534, UniRef:UniRef90_UPI00157AE534
contig_2	cds	516	629	+	GCA_005795965_0012		hypothetical protein	PFAM:PF00444.23
contig_2	cds	654	1052	+	GCA_005795965_0013	rpsM	30S ribosomal protein S13	GO:0003723, GO:0003735, GO:0005840, GO:0006412, KEGG:K02952, RefSeq:WP_174480910.1, SO:0001217, UniParc:UPI00121DABDD, UniRef:UniRef100_UPI00121DABDD, UniRef:UniRef50_Q9X1I5, UniRef:UniRef90_UPI00313C4535
contig_2	cds	1070	1462	+	GCA_005795965_0014	rpsK	30S ribosomal protein S11	GO:0003735, GO:0005840, GO:0006412, KEGG:K02948, RefSeq:WP_252319229.1, SO:0001217, UniParc:UPI00121B365F, UniRef:UniRef100_UPI00121B365F, UniRef:UniRef50_Q6N4V6, UniRef:UniRef90_UPI0034CFE044
contig_2	cds	1481	2449	+	GCA_005795965_0015		DNA-directed RNA polymerase subunit alpha	EC:2.7.7.6, GO:0003677, GO:0003899, GO:0006351, GO:0046983, SO:0001217, UniRef:UniRef50_UPI00157B67B5, UniRef:UniRef90_UPI00157B67B5
contig_3	cds	120	656	+	GCA_005795965_0016		hypothetical protein	
contig_3	cds	659	2353	+	GCA_005795965_0017		ATP-binding cassette domain-containing protein	SO:0001217, UniRef:UniRef50_A0A846U9R8, UniRef:UniRef90_UPI0013CD81A2
contig_3	cds	2357	3559	+	GCA_005795965_0018		ABC transporter permease subunit	RefSeq:WP_338988068.1, SO:0001217, UniParc:UPI0011FC380A, UniRef:UniRef100_UPI001E37D2CA, UniRef:UniRef50_A0A846U0R6, UniRef:UniRef90_UPI001E37D2CA
contig_3	cds	3534	3788	-	GCA_005795965_0019		hypothetical protein	
contig_4	cds	335	1003	-	GCA_005795965_0020	cutC	copper homeostasis protein CutC	KEGG:K06201, SO:0001217, UniRef:UniRef50_UPI0027E0398F, UniRef:UniRef90_UPI00313EC2F1
contig_4	cds	1022	2203	-	GCA_005795965_0021	metK	methionine adenosyltransferase	EC:2.5.1.6, GO:0004478, GO:0005524, GO:0006556, KEGG:K00789, SO:0001217, UniRef:UniRef50_Q6F1M6, UniRef:UniRef90_UPI00157A5489
