#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	12656	14032	+	GCA_026239495_00016	51.3	7.6		SO:0001217, UniRef:UniRef50_A0A1J0U0Z2
contig_1	14135	14290	+	GCA_026239495_00017	6.3	8.8		
contig_1	16194	16352	-	GCA_026239495_00021	6.3	9.4		
contig_1	16358	16915	-	GCA_026239495_00022	22.1	9.8	PF00665.32|rve	PFAM:PF00665.32
contig_1	21292	21456	+	GCA_026239495_00029	6.4	9.8		
contig_1	38846	39304	-	GCA_026239495_00044	17.7	4.6		SO:0001217, UniRef:UniRef50_UPI003277911A, UniRef:UniRef90_UPI003277911A
contig_1	41515	41703	-	GCA_026239495_00049	7.1	9.8		SO:0001217, UniRef:UniRef50_UPI001F4C9FB6, UniRef:UniRef90_UPI001F4C9FB6
contig_1	42545	42757	-	GCA_026239495_00051	8.6	10.2		
contig_1	45050	45637	+	GCA_026239495_00053	22.9	9.6		SO:0001217, UniRef:UniRef50_A0AAI9T420, UniRef:UniRef90_A0A345DQI3
contig_1	45884	46219	+	GCA_026239495_00054	12.8	10.2		
contig_1	46250	46633	+	GCA_026239495_00055	14.6	7.9		SO:0001217, UniRef:UniRef50_UPI0032728437, UniRef:UniRef90_UPI0032728437
contig_1	46916	47173	+	GCA_026239495_00056	10.6	8.7		SO:0001217, UniRef:UniRef50_UPI00326FFB33, UniRef:UniRef90_UPI00326FFB33
contig_1	47216	47437	+	GCA_026239495_00057	9.0	10.4		SO:0001217, UniRef:UniRef50_A0A2S8NT37, UniRef:UniRef90_UPI00313C4560
contig_1	47517	47969	+	GCA_026239495_00058	18.1	8.7		SO:0001217, UniRef:UniRef50_A0A1J0U0V7
contig_1	50367	50543	+	GCA_026239495_00063	7.0	10.3		
contig_1	53240	54055	+	GCA_026239495_00066	32.7	9.7	PF00665.32|rve	PFAM:PF00665.32
contig_1	66531	66686	+	GCA_026239495_00084	6.1	10.1		SO:0001217, UniRef:UniRef50_UPI00313F2ADF
contig_1	70401	71063	+	GCA_026239495_00093	26.1	9.7	PF00665.32|rve	PFAM:PF00665.32
contig_1	73705	74718	-	GCA_026239495_00099	39.7	9.7		
contig_1	82516	82794	+	GCA_026239495_00108	11.3	10.0	PF13276.12|HTH_21	PFAM:PF13276.12
contig_1	83218	83490	-	GCA_026239495_00109	10.9	10.0		
contig_1	83563	83688	+	GCA_026239495_00110	4.6	6.0		
contig_1	84053	84172	+	GCA_026239495_00111	4.8	5.7		SO:0001217, UniRef:UniRef50_UPI0030CC6749, UniRef:UniRef90_UPI0030CC6749
contig_1	88109	88354	+	GCA_026239495_00115	9.7	8.8	PF00248.27|Aldo_ket_red	PFAM:PF00248.27
contig_1	92522	92737	+	GCA_026239495_00122	8.1	5.2		
contig_1	96984	97157	+	GCA_026239495_00127	6.7	10.7		
contig_1	97114	97359	+	GCA_026239495_00128	9.3	9.6		
contig_1	102692	102805	-	GCA_026239495_00133	4.7	11.7		
contig_1	103775	104206	+	GCA_026239495_00135	17.4	10.1	PF00665.32|rve	PFAM:PF00665.32
contig_1	105094	105261	-	GCA_026239495_00137	6.9	9.6		
contig_1	105292	105441	-	GCA_026239495_00138	5.8	9.8		
contig_1	105754	106086	+	GCA_026239495_00139	12.6	5.0		SO:0001217, UniRef:UniRef50_A0A2P6F8Y2, UniRef:UniRef90_A0A2P6F8Y2
contig_1	106152	106247	+	GCA_026239495_00140	3.6	4.2		SO:0001217, UniRef:UniRef50_A0A2P6F8E1, UniRef:UniRef90_UPI0020A1DABD
contig_1	106248	106361	+	GCA_026239495_00141	4.4	4.2		SO:0001217, UniRef:UniRef50_A0A2P6F9R9, UniRef:UniRef90_UPI00313F030A
