#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	4453	4677	-	GCF_965178695_00007	9.2	9.2		SO:0001217, UniRef:UniRef50_A0A0C2EJF9, UniRef:UniRef90_UPI0030CB5F1E
contig_1	6691	6828	-	GCF_965178695_00011	5.5	4.1		SO:0001217, UniRef:UniRef50_Q14MU4, UniRef:UniRef90_A0A977TP57
contig_1	6830	7051	-	GCF_965178695_00012	8.6	5.0		RefSeq:WP_338963241.1, SO:0001217, UniParc:UPI0030CA9586, UniRef:UniRef100_UPI0030CA9586, UniRef:UniRef50_A0A977TP96, UniRef:UniRef90_A0A977TP96
contig_1	11480	12058	+	GCF_965178695_00018	22.4	9.1		SO:0001217, UniRef:UniRef50_A0A2P6F9S6, UniRef:UniRef90_A0A2P6F9S6
contig_1	16666	17376	-	GCF_965178695_00022	27.0	8.5		SO:0001217, UniRef:UniRef50_UPI0030CF9367, UniRef:UniRef90_UPI0030CF9367
contig_1	21944	22510	-	GCF_965178695_00028	22.0	8.5		SO:0001217, UniRef:UniRef50_A0A2P6F9S6, UniRef:UniRef90_UPI00148B18E4
contig_1	25036	25392	-	GCF_965178695_00033	13.8	9.4		
contig_1	28101	28322	+	GCF_965178695_00037	8.6	5.0		RefSeq:WP_338963241.1, SO:0001217, UniParc:UPI0030CA9586, UniRef:UniRef100_UPI0030CA9586, UniRef:UniRef50_A0A977TP96, UniRef:UniRef90_A0A977TP96
contig_1	28324	28461	+	GCF_965178695_00038	5.5	4.1		SO:0001217, UniRef:UniRef50_Q14MU4, UniRef:UniRef90_A0A977TP57
contig_1	30475	30699	+	GCF_965178695_00042	9.2	9.2		SO:0001217, UniRef:UniRef50_A0A0C2EJF9, UniRef:UniRef90_UPI0030CB5F1E
contig_1	37401	37856	+	GCF_965178695_00051	17.3	5.9		SO:0001217, UniRef:UniRef50_A0A3S0R7T3, UniRef:UniRef90_A0A3S0R7T3
contig_1	46450	46806	-	GCF_965178695_00059	13.8	9.4		
contig_1	49513	49737	+	GCF_965178695_00064	9.1	9.3		SO:0001217, UniRef:UniRef50_A0A0C2EJF9, UniRef:UniRef90_A0A0C2EJF9
