# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	1328	+	GCF_964019665_00001	dnaA	(5' truncated) chromosomal replication initiator protein DnaA	GO:0003677, GO:0003688, GO:0005524, GO:0006270, GO:0006275, KEGG:K02313, SO:0001217, UniRef:UniRef50_P35892, UniRef:UniRef90_A0A0M4JIR2
contig_1	cds	1461	2585	+	GCF_964019665_00002	dnaN	DNA polymerase III subunit beta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_339034149.1, SO:0001217, UniParc:UPI0030D17543, UniRef:UniRef100_UPI0030D17543, UniRef:UniRef50_S5LYT7, UniRef:UniRef90_A0A0M4K0G0
contig_1	cds	2655	4559	+	GCF_964019665_00003	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, RefSeq:WP_339034151.1, SO:0001217, UniParc:UPI0030D192C3, UniRef:UniRef100_UPI0030D192C3, UniRef:UniRef50_P0DG04, UniRef:UniRef90_UPI00313E2F97
contig_1	cds	4581	7013	+	GCF_964019665_00004	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, RefSeq:WP_339034153.1, SO:0001217, UniParc:UPI0030D6171D, UniRef:UniRef100_UPI0030D6171D, UniRef:UniRef50_S5MDC2, UniRef:UniRef90_A0A0M3SJ07
contig_1	cds	7016	8281	+	GCF_964019665_00005	serS	serine--tRNA ligase	EC:6.1.1.11, GO:0000166, GO:0004828, GO:0005524, GO:0006434, KEGG:K01875, RefSeq:WP_339034155.1, SO:0001217, UniParc:UPI0030D60339, UniRef:UniRef100_UPI0030D60339, UniRef:UniRef50_Q6MUG5, UniRef:UniRef90_UPI00313AF01D
contig_1	ncRNA	8386	8483	+	GCF_964019665_00006	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	RFAM:RF00169, SO:0000655
contig_1	cds	8498	8923	+	GCF_964019665_00007		deaminase	RefSeq:WP_339034157.1, SO:0001217, UniParc:UPI0030CDBD8F, UniRef:UniRef100_UPI0030CDBD8F, UniRef:UniRef50_A0A2K8SC81, UniRef:UniRef90_UPI0030D023A2
contig_1	cds	8959	10842	+	GCF_964019665_00008	dnaX	DNA polymerase III subunit gamma/tau	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005524, GO:0006260, GO:0009360, KEGG:K02343, RefSeq:WP_339034159.1, SO:0001217, UniParc:UPI0030CB621A, UniRef:UniRef100_UPI0030CB621A, UniRef:UniRef50_S5LSS2, UniRef:UniRef90_UPI00313DDB3F
contig_1	cds	10842	11414	+	GCF_964019665_00009	recR	Recombination protein RecR	KEGG:K06187, RefSeq:WP_339034161.1, SO:0001217, UniParc:UPI0030D561B1, UniRef:UniRef100_UPI0030D561B1, UniRef:UniRef50_A0A2K8SC67, UniRef:UniRef90_A0A0M3SJ08
contig_1	cds	11432	12061	+	GCF_964019665_00010	tmk	dTMP kinase	EC:2.7.4.9, GO:0004798, GO:0005524, GO:0006233, KEGG:K00943, RefSeq:WP_339029956.1, SO:0001217, UniParc:UPI0030CBC542, UniRef:UniRef100_UPI0030CBC542, UniRef:UniRef50_Q6MUI5, UniRef:UniRef90_S5MDC6
contig_1	cds	12061	12807	+	GCF_964019665_00011		DNA polymerase III subunit delta	RefSeq:WP_339034163.1, SO:0001217, UniParc:UPI0030CDC2CD, UniRef:UniRef100_UPI0030CDC2CD, UniRef:UniRef50_S5LVA3, UniRef:UniRef90_UPI0030D00666
contig_1	cds	12807	13529	+	GCF_964019665_00012		tRNA1(Val) (adenine(37)-N6)-methyltransferase	RefSeq:WP_339034165.1, SO:0001217, UniParc:UPI0030CD89D2, UniRef:UniRef100_UPI0030CD89D2, UniRef:UniRef50_A0AAQ3HXK8, UniRef:UniRef90_UPI0030CFFEE5
contig_1	cds	13522	14667	+	GCF_964019665_00013	tilS	tRNA lysidine(34) synthetase TilS	EC:6.3.4.19, KEGG:K04075, SO:0001217, UniRef:UniRef50_A0A858AUD2, UniRef:UniRef90_UPI00313C50CA
contig_1	cds	14707	16623	+	GCF_964019665_00014	ftsH	ATP-dependent zinc metalloprotease FtsH	GO:0004222, GO:0006508, GO:0016020, GO:0016887, GO:0051301, RefSeq:WP_339034169.1, SO:0001217, UniParc:UPI0030D1D576, UniRef:UniRef100_UPI0030D1D576, UniRef:UniRef50_Q6F0E5, UniRef:UniRef90_A0A0M4JIR8
contig_1	cds	16701	17549	+	GCF_964019665_00015	hslO	Hsp33 family molecular chaperone HslO	KEGG:K04083, RefSeq:WP_339034171.1, SO:0001217, UniParc:UPI0030CD66D5, UniRef:UniRef100_UPI0030CD66D5, UniRef:UniRef50_A0AA38LZC2, UniRef:UniRef90_UPI0030CD66D5
contig_1	cds	17604	18596	+	GCF_964019665_00016		ABC transporter ATP-binding protein	RefSeq:WP_339034174.1, SO:0001217, UniParc:UPI0030D1585A, UniRef:UniRef100_UPI0030D1585A, UniRef:UniRef50_A0A0M4K0G8, UniRef:UniRef90_A0A0M4K0G8
contig_1	cds	18649	19011	+	GCF_964019665_00017		DUF1904 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M5KC24
contig_1	cds	19011	20009	+	GCF_964019665_00018	dusB	tRNA dihydrouridine synthase DusB	EC:1.-.-.-, EC:1.3.1.-, GO:0008033, GO:0017150, GO:0050660, KEGG:K05540, RefSeq:WP_339034178.1, SO:0001217, UniParc:UPI0030D39C79, UniRef:UniRef100_UPI0030D39C79, UniRef:UniRef50_S5LYU9, UniRef:UniRef90_S5LYU9
contig_1	cds	20002	21513	+	GCF_964019665_00019	lysS	lysine--tRNA ligase	EC:6.1.1.6, GO:0004824, GO:0005524, GO:0005737, GO:0006430, KEGG:K04567, RefSeq:WP_339034179.1, SO:0001217, UniParc:UPI0030CC6DCC, UniRef:UniRef100_UPI0030CC6DCC, UniRef:UniRef50_A0A1G8EXS1, UniRef:UniRef90_A0A0M3SJ10
contig_1	cds	21513	22520	+	GCF_964019665_00020	asnA	Asparagine synthetase AsnA	EC:6.3.1.1, KEGG:K01914, RefSeq:WP_339034181.1, SO:0001217, UniParc:UPI0030CEFCB1, UniRef:UniRef100_UPI0030CEFCB1, UniRef:UniRef50_S5MDD3, UniRef:UniRef90_UPI00313AF782
contig_1	cds	22569	23180	+	GCF_964019665_00021		IspD/TarI family cytidylyltransferase	RefSeq:WP_339034183.1, SO:0001217, UniParc:UPI0030CE1FEB, UniRef:UniRef100_UPI0030CE1FEB, UniRef:UniRef50_S5LVB2, UniRef:UniRef90_UPI0030CE1FEB
contig_1	cds	23292	23813	+	GCF_964019665_00022	rpsF	30S ribosomal protein S6	GO:0000314, GO:0003735, GO:0006412, GO:0022627, KEGG:K02990, RefSeq:WP_339034185.1, SO:0001217, UniParc:UPI0030D471B9, UniRef:UniRef100_UPI0030D471B9, UniRef:UniRef50_S5MIJ8, UniRef:UniRef90_UPI00313CB374
contig_1	cds	23835	24290	+	GCF_964019665_00023		Single-stranded DNA-binding protein	RefSeq:WP_339034186.1, SO:0001217, UniParc:UPI0030CC0C4F, UniRef:UniRef100_UPI0030CC0C4F, UniRef:UniRef50_S5LST4, UniRef:UniRef90_A0A0M4KDR2
contig_1	cds	24307	24528	+	GCF_964019665_00024	rpsR	30S ribosomal protein S18	GO:0000314, GO:0003735, GO:0006412, GO:0022627, KEGG:K02963, RefSeq:WP_053945715.1, SO:0001217, UniParc:UPI0006B4365B, UniRef:UniRef100_A0A0M4JRS5, UniRef:UniRef50_P66457, UniRef:UniRef90_S5M137
contig_1	cds	24588	25034	+	GCF_964019665_00025	rplI	50S ribosomal protein L9	GO:0003735, GO:0005840, GO:0006412, KEGG:K02939, RefSeq:WP_339034187.1, SO:0001217, UniParc:UPI0030CD3E3F, UniRef:UniRef100_UPI0030CD3E3F, UniRef:UniRef50_S5MDD5, UniRef:UniRef90_UPI0030D47A8C
contig_1	cds	25034	26386	+	GCF_964019665_00026	dnaB	replicative DNA helicase	EC:5.6.2.3, GO:0003677, GO:0003678, GO:0005524, GO:0006260, KEGG:K02314, RefSeq:WP_339034188.1, SO:0001217, UniParc:UPI0030CB1ED4, UniRef:UniRef100_UPI0030CB1ED4, UniRef:UniRef50_S5LVB6, UniRef:UniRef90_S5LVB6
contig_1	cds	26447	27796	+	GCF_964019665_00027		Vmc-like lipoprotein signal peptide domain-containing protein	RefSeq:WP_339034190.1, SO:0001217, UniParc:UPI0030D62DA8, UniRef:UniRef100_UPI0030D62DA8, UniRef:UniRef50_A0A0M4JIS4, UniRef:UniRef90_UPI0030D62DA8
contig_1	cds	27814	29604	+	GCF_964019665_00028		hypothetical protein	RefSeq:WP_339034192.1, SO:0001217, UniParc:UPI0030D3ECB4, UniRef:UniRef100_UPI0030D3ECB4, UniRef:UniRef50_A0A0M4K0H3, UniRef:UniRef90_UPI00313C32BB
contig_1	cds	29604	30272	+	GCF_964019665_00029		uracil-DNA glycosylase	EC:3.2.2.27, GO:0004844, GO:0006284, KEGG:K03648, RefSeq:WP_339034194.1, SO:0001217, UniParc:UPI0030CE8E38, UniRef:UniRef100_UPI0030CE8E38, UniRef:UniRef50_Q6F1M3, UniRef:UniRef90_UPI00313F0819
contig_1	cds	30284	31189	+	GCF_964019665_00030		ECF transporter S component	RefSeq:WP_339034196.1, SO:0001217, UniParc:UPI0030CC7FC3, UniRef:UniRef100_UPI0030CC7FC3, UniRef:UniRef50_V5RGT3, UniRef:UniRef90_A0A0M5KEA7
