# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	80	310	-	GCA_964019825_00001		hypothetical protein	
contig_1	cds	372	1352	+	GCA_964019825_00002	dnaA	chromosomal replication initiator protein DnaA	SO:0001217, UniRef:UniRef50_UPI00313D5A90
contig_1	cds	1521	2639	+	GCA_964019825_00003	dnaN	DNA polymerase III subunit beta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005737, GO:0006260, GO:0006271, GO:0008408, GO:0009360, KEGG:K02338, SO:0001217, UniRef:UniRef50_P34029, UniRef:UniRef90_P34029
contig_1	cds	2808	4727	+	GCA_964019825_00004	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0034335, GO:0046872, KEGG:K02470, SO:0001217, UniRef:UniRef50_P22447, UniRef:UniRef90_P34031
contig_1	cds	4740	7211	+	GCA_964019825_00005	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, SO:0001217, UniRef:UniRef50_P05653, UniRef:UniRef90_P34030
contig_1	cds	7205	8476	+	GCA_964019825_00006	serS	serine--tRNA ligase	EC:6.1.1.11, GO:0000166, GO:0004828, GO:0005524, GO:0006434, KEGG:K01875, SO:0001217, UniRef:UniRef50_B8GQ80, UniRef:UniRef90_A0A0K2JFA7
contig_1	ncRNA	8547	8637	+	GCA_964019825_00007	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	RFAM:RF00169, SO:0000655
contig_1	cds	8594	9097	+	GCA_964019825_00008		tRNA(adenine(34)) deaminase	SO:0001217, UniRef:UniRef50_R4U2K4, UniRef:UniRef90_A0A0K2JET8
contig_1	cds	9164	11236	+	GCA_964019825_00009	dnaX	DNA polymerase III subunit gamma/tau	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005524, GO:0006260, GO:0009360, KEGG:K02343, SO:0001217, UniRef:UniRef50_A0A1J0TZ61, UniRef:UniRef90_A0A0K2JER5
contig_1	cds	11254	11835	+	GCA_964019825_00010	recR	recombination mediator RecR	GO:0003677, GO:0006281, GO:0006310, GO:0046872, KEGG:K06187, SO:0001217, UniRef:UniRef50_R4UCI4, UniRef:UniRef90_A0AAI9X1F6
contig_1	cds	11853	12497	+	GCA_964019825_00011	tmk	dTMP kinase	EC:2.7.4.9, GO:0004798, GO:0005524, GO:0006233, KEGG:K00943, SO:0001217, UniRef:UniRef50_Q6MUI5, UniRef:UniRef90_A0A0K2JEC4
contig_1	cds	12490	13326	+	GCA_964019825_00012		DNA polymerase III subunit delta	SO:0001217, UniRef:UniRef50_Q14QH2, UniRef:UniRef90_Q14QH2
contig_1	cds	13328	14050	+	GCA_964019825_00013		Methyltransferase	SO:0001217, UniRef:UniRef50_W0GPF1, UniRef:UniRef90_Q14QH1
contig_1	cds	14060	15409	+	GCA_964019825_00014		tRNA(Ile)-lysidine synthase	EC:6.3.4.19, KEGG:K04075, SO:0001217, UniRef:UniRef50_A0A0K2JEU1, UniRef:UniRef90_A0A0K2JEU1
contig_1	cds	15441	17465	+	GCA_964019825_00015	ftsH	ATP-dependent zinc metalloprotease FtsH	GO:0004222, GO:0006508, GO:0016020, GO:0016887, GO:0051301, SO:0001217, UniRef:UniRef50_Q6F0E5, UniRef:UniRef90_A0A0K2JER8
contig_1	cds	17553	18416	+	GCA_964019825_00016		Heat shock protein 33	KEGG:K04083, SO:0001217, UniRef:UniRef50_W0GPF6, UniRef:UniRef90_A0A0K2JED0
contig_1	cds	18529	19470	+	GCA_964019825_00017		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_R4UCJ8, UniRef:UniRef90_A0A1J0TZ81
contig_1	cds	19930	20139	+	GCA_964019825_00018		(pseudo) tRNA-dihydrouridine synthase B	SO:0001217, UniRef:UniRef50_A0A345DLE5, UniRef:UniRef90_A0A345DLE5
contig_1	cds	20155	20688	+	GCA_964019825_00019		putative trna-dihydrouridine synthase n-terminal truncated protein	SO:0001217, UniRef:UniRef50_Q14QG5
contig_1	cds	20750	22252	+	GCA_964019825_00020	lysS	lysine--tRNA ligase	EC:6.1.1.6, GO:0004824, GO:0005524, GO:0005737, GO:0006430, KEGG:K04567, SO:0001217, UniRef:UniRef50_A0A1G8EXS1, UniRef:UniRef90_A0A0K2JIY6
contig_1	cds	22261	22551	+	GCA_964019825_00021		hypothetical protein	PFAM:PF03590.20, SO:0001217, UniRef:UniRef50_UPI0030CB3267, UniRef:UniRef90_UPI0030CB3267
contig_1	cds	22576	22755	+	GCA_964019825_00022		hypothetical protein	
contig_1	cds	22816	23154	+	GCA_964019825_00023		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030CF8B73, UniRef:UniRef90_UPI0030CF8B73
contig_1	cds	24098	24349	+	GCA_964019825_00024		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030D34FCF, UniRef:UniRef90_UPI0030D34FCF
contig_1	ncRNA-region	24643	24740	+			Purine riboswitch aptamer	RFAM:RF00167, SO:0000035
