51.1	PF00308.21	106	318	5	215	213	107	443	219	0.481	0.963	194
51.1	PF08299.14	352	420	1	69	69	27	443	69	0.156	1.000	84
51.33	PF02357.22	17	121	1	107	107	48	208	107	0.505	1.000	111
51.65	PF01381.25	15	68	2	55	54	30	73	55	0.740	0.982	46
51.129	PF00572.21	14	132	1	119	119	39	151	119	0.788	1.000	160
51.161	PF01149.27	1	117	1	118	118	58	277	119	0.422	0.992	113
51.161	PF06831.17	135	226	1	92	92	39	277	93	0.332	0.989	103
51.193	PF01895.22	23	103	6	86	81	48	228	89	0.355	0.910	60
51.225	PF00588.22	104	244	3	141	141	76	253	142	0.557	0.979	116
51.257	PF00591.24	76	268	2	213	212	136	436	253	0.443	0.838	94
51.257	PF07831.16	353	399	10	56	47	16	436	75	0.108	0.627	63
51.257	PF02885.20	6	66	3	63	61	29	436	63	0.140	0.968	62
51.289	PF01048.23	43	226	39	234	196	143	226	234	0.814	0.838	52
51.353	PF00248.24	14	307	1	290	294	168	329	293	0.894	0.990	216
51.417	PF00005.30	386	480	58	150	95	50	638	150	0.149	0.620	81
51.417	PF08352.15	531	593	1	63	63	32	638	65	0.099	0.969	59
51.417	PF00005.30	26	59	2	35	34	13	638	150	0.053	0.227	44
51.481	PF13292.9	13	173	11	175	165	94	545	273	0.295	0.604	121
51.513	PF01380.25	120	212	1	94	94	65	266	132	0.350	0.712	45
51.545	PF00375.21	97	478	24	389	382	259	562	391	0.680	0.936	166
51.673	PF00185.27	156	331	1	157	176	75	334	157	0.527	1.000	173
51.673	PF02729.24	8	148	1	146	146	57	334	146	0.422	1.000	170
51.737	PF04055.24	14	179	1	163	166	118	370	167	0.449	0.976	67
51.833	PF01580.21	649	824	16	242	227	105	993	243	0.177	0.934	160
51.833	PF17854.4	525	627	1	101	103	41	993	101	0.104	1.000	120
51.833	PF09397.13	929	987	4	62	59	10	993	63	0.059	0.937	104
51.865	PF01863.20	28	221	1	205	205	126	225	207	0.862	0.990	117
