118.1	PF00308.21	104	318	5	215	215	97	442	219	0.486	0.963	221
118.1	PF08299.14	352	418	3	69	67	27	442	69	0.152	0.971	80
118.65	PF00122.23	140	338	5	181	199	112	966	181	0.206	0.978	123
118.65	PF00689.24	729	898	2	172	171	116	966	182	0.176	0.940	86
118.65	PF13246.9	405	485	2	90	89	45	966	91	0.084	0.978	72
118.65	PF00690.29	22	89	1	68	68	34	966	69	0.070	0.986	65
118.65	PF00702.29	549	659	118	211	111	64	966	211	0.115	0.445	57
118.97	PF00152.23	120	449	10	321	330	187	454	321	0.727	0.972	228
118.161	PF00587.28	326	533	9	178	208	122	644	179	0.323	0.950	86
118.161	PF03129.23	546	637	1	94	94	52	644	94	0.143	1.000	74
118.193	PF00265.21	11	195	1	177	185	97	199	177	0.930	1.000	151
118.225	PF08282.15	7	269	1	255	263	171	276	255	0.953	1.000	138
118.289	PF00253.24	18	60	12	54	43	8	61	54	0.705	0.796	73
118.321	PF02590.20	1	154	1	154	154	72	155	154	0.994	1.000	156
118.353	PF09285.14	128	183	1	56	56	14	185	56	0.303	1.000	88
118.353	PF01132.23	67	120	1	54	54	19	185	54	0.292	1.000	72
118.353	PF08207.15	4	59	3	58	56	23	185	58	0.303	0.966	66
118.545	PF00383.26	10	123	2	100	114	54	159	101	0.717	0.980	94
118.545	PF14437.9	9	123	1	104	115	77	159	138	0.723	0.754	41
118.577	PF00575.26	3	79	3	75	77	49	114	75	0.675	0.973	42
118.609	PF00830.22	3	60	1	59	59	22	65	60	0.892	0.983	73
118.833	PF04851.18	182	340	2	172	171	109	826	172	0.192	0.994	84
118.833	PF00271.34	419	511	16	109	94	55	826	111	0.113	0.847	69
118.897	PF06723.16	8	320	1	315	315	170	343	327	0.913	0.963	261
118.2	PF00712.22	1	123	1	120	123	74	373	121	0.330	0.992	80
118.2	PF02767.19	133	246	1	116	116	73	373	116	0.306	1.000	71
118.2	PF02768.18	251	370	4	120	120	78	373	121	0.322	0.967	66
118.34	PF01406.22	15	308	6	302	297	124	442	302	0.665	0.983	332
118.34	PF09190.14	349	399	1	54	54	30	442	63	0.115	0.857	40
118.98	PF00535.29	4	101	1	99	99	64	315	170	0.311	0.582	57
118.130	PF02030.18	611	935	28	321	325	243	1024	493	0.317	0.596	48
118.162	PF01226.20	48	308	12	235	261	164	380	236	0.687	0.949	99
118.194	PF03462.21	12	206	1	192	195	75	360	192	0.542	1.000	232
118.194	PF00472.23	214	323	2	116	115	35	360	116	0.306	0.991	158
118.226	PF00085.23	10	101	8	102	95	40	101	103	0.911	0.922	104
118.226	PF13905.9	18	80	1	90	90	44	101	94	0.624	0.957	43
118.226	PF13098.9	19	100	6	110	105	59	101	110	0.812	0.955	43
118.290	PF00410.22	4	129	1	126	126	27	129	126	0.977	1.000	203
118.322	PF00886.22	8	64	1	62	62	22	96	62	0.594	1.000	77
118.386	PF01048.23	35	208	38	213	176	134	514	234	0.339	0.752	51
118.482	PF13604.9	331	493	2	159	163	101	731	192	0.223	0.823	97
118.482	PF13245.9	335	466	1	150	150	86	731	151	0.181	0.993	85
118.482	PF13538.9	656	704	2	52	51	24	731	52	0.067	0.981	51
118.482	PF18335.4	570	632	1	62	63	38	731	65	0.086	0.954	42
118.578	PF01106.20	18	70	12	64	53	19	77	67	0.688	0.791	68
118.610	PF04265.17	149	199	15	67	53	30	206	70	0.248	0.757	41
118.674	PF00448.25	101	296	1	196	196	71	454	196	0.432	1.000	247
118.674	PF02978.22	327	424	1	99	99	46	454	101	0.216	0.980	101
118.674	PF02881.22	7	84	1	75	78	41	454	75	0.172	1.000	66
118.706	PF00478.28	13	475	1	463	463	97	488	463	0.949	1.000	750
118.706	PF00571.31	154	205	1	51	52	26	488	57	0.107	0.895	48
118.706	PF00571.31	101	147	8	54	47	23	488	57	0.096	0.825	47
118.770	PF00453.21	3	109	1	107	107	25	119	107	0.899	1.000	170
118.834	PF10593.12	392	599	9	225	217	141	849	230	0.245	0.943	109
118.866	PF00005.30	94	186	17	112	96	67	220	150	0.423	0.640	40
118.3	PF00204.28	221	389	1	174	174	72	633	175	0.267	0.994	192
118.3	PF00986.24	562	621	3	62	60	11	633	63	0.095	0.952	103
118.3	PF01751.25	418	530	1	107	113	65	633	107	0.179	1.000	77
118.3	PF02518.29	31	151	2	104	121	72	633	112	0.191	0.920	55
118.35	PF00588.22	92	233	2	142	142	71	244	142	0.582	0.993	132
118.35	PF08032.15	5	75	1	75	75	47	244	76	0.291	0.987	42
118.67	PF07517.17	4	374	9	379	371	101	974	380	0.381	0.976	544
118.67	PF07516.16	558	768	1	198	211	115	974	199	0.217	0.995	155
118.67	PF01043.23	224	330	3	110	108	37	974	111	0.110	0.973	142
118.163	PF01226.20	45	337	8	235	293	181	418	236	0.701	0.966	66
118.227	PF08282.15	5	264	1	252	260	159	275	255	0.945	0.988	161
118.291	PF00347.26	91	165	1	79	79	32	180	80	0.417	0.988	88
118.291	PF00347.26	11	83	1	80	80	43	180	80	0.406	1.000	60
118.451	PF02660.18	11	164	1	140	154	80	288	163	0.535	0.859	117
118.483	PF00521.23	38	464	1	420	427	163	830	426	0.514	0.986	509
118.515	PF00312.25	7	87	1	81	81	29	88	81	0.920	1.000	105
118.547	PF00849.25	88	242	1	159	159	89	305	160	0.508	0.994	122
118.579	PF01812.23	44	184	41	187	147	94	188	187	0.750	0.786	80
118.611	PF00834.22	5	208	1	198	204	104	224	198	0.911	1.000	177
118.643	PF01149.27	1	117	1	118	118	55	276	119	0.424	0.992	121
118.643	PF06831.17	136	226	2	92	91	42	276	93	0.330	0.978	94
118.643	PF06827.17	247	274	1	28	28	8	276	30	0.101	0.933	42
118.675	PF01966.25	325	414	4	121	118	65	506	122	0.178	0.967	49
118.707	PF00958.25	422	512	2	92	91	10	513	92	0.177	0.989	170
