search	psearch_time	psearch_conv_time	arch_extraction_time	raw_hits_cnt	pct_query_w_raw_hits	usable_hits_cnt	pct_query_w_usable_hits	arch_cnt	pct_query_w_arch	threads
65-pfama.mmseqs	24.090	0.020	0.050	1118	32.043	749	23.263	323	13.442	1
94-pfama.mmseqs	24.090	0.100	0.060	1589	53.601	843	28.808	318	13.880	1
18-pfama.mmseqs	24.880	0.020	0.050	929	18.725	590	12.594	251	7.581	1
88-pfama.mmseqs	25.360	0.020	0.050	1157	34.741	804	25.991	353	15.216	1
74-pfama.mmseqs	26.580	0.020	0.050	1201	31.820	817	23.586	347	13.351	1
59-pfama.mmseqs	26.650	0.050	0.050	1201	32.412	827	24.078	353	13.556	1
19-pfama.mmseqs	26.920	0.020	0.050	983	21.276	601	13.545	268	8.422	1
71-pfama.mmseqs	26.830	0.080	0.050	1179	34.092	816	25.790	347	14.623	1
12-pfama.mmseqs	27.130	0.020	0.050	1592	41.995	1014	27.378	276	9.148	1
130-pfama.mmseqs	27.000	0.020	0.050	1077	32.015	707	22.432	310	13.322	1
147-pfama.mmseqs	28.020	0.020	0.050	1508	44.123	916	27.697	275	10.197	1
11-pfama.mmseqs	28.160	0.020	0.060	1587	41.997	1010	27.354	273	9.085	1
72-pfama.mmseqs	27.930	0.100	0.050	1168	33.306	778	24.002	330	13.586	1
37-pfama.mmseqs	28.380	0.020	0.060	1562	36.035	1135	29.406	330	10.830	1
89-pfama.mmseqs	28.220	0.020	0.050	1151	34.689	812	26.557	360	15.571	1
143-pfama.mmseqs	28.860	0.120	0.060	1248	35.410	951	29.635	395	15.008	1
57-pfama.mmseqs	29.060	0.040	0.070	1508	42.264	1095	34.932	317	12.772	1
90-pfama.mmseqs	29.050	0.020	0.070	1159	34.991	804	26.125	350	15.138	1
75-pfama.mmseqs	30.000	0.020	0.060	1301	31.696	881	23.145	364	12.862	1
142-pfama.mmseqs	30.060	0.020	0.060	1168	32.043	823	24.729	248	9.598	1
92-pfama.mmseqs	30.760	0.020	0.060	1461	33.986	1131	30.068	336	11.351	1
127-pfama.mmseqs	30.810	0.020	0.060	1902	50.483	1414	44.239	372	14.988	1
24-pfama.mmseqs	31.250	0.020	0.050	802	20.787	596	17.425	242	9.922	1
160-pfama.mmseqs	31.910	0.020	0.090	1084	31.302	768	24.207	343	14.316	1
68-pfama.mmseqs	32.320	0.030	0.080	1512	41.815	1115	34.839	322	12.763	1
129-pfama.mmseqs	32.510	0.020	0.080	1050	26.521	723	19.542	270	9.664	1
125-pfama.mmseqs	32.790	0.030	0.060	1851	40.897	1246	29.507	361	10.652	1
136-pfama.mmseqs	32.770	0.030	0.090	1957	42.461	1280	28.560	283	7.408	1
111-pfama.mmseqs	32.470	0.080	0.070	1104	32.533	788	25.242	360	15.171	1
