search	psearch_time	psearch_conv_time	arch_extraction_time	raw_hits_cnt	pct_query_w_raw_hits	usable_hits_cnt	pct_query_w_usable_hits	arch_cnt	pct_query_w_arch	threads
94-pfama.mmseqs	26.270	0.030	0.040	1589	53.601	843	28.808	318	13.880	1
65-pfama.mmseqs	26.730	0.020	0.050	1118	32.043	749	23.263	323	13.442	1
71-pfama.mmseqs	26.680	0.050	0.040	1179	34.092	816	25.790	347	14.623	1
12-pfama.mmseqs	27.740	0.050	0.040	1592	41.995	1014	27.378	276	9.148	1
8-pfama.mmseqs	27.890	0.020	0.050	1625	39.856	1193	31.741	300	11.377	1
130-pfama.mmseqs	27.480	0.020	0.040	1077	32.015	707	22.432	310	13.322	1
11-pfama.mmseqs	28.820	0.020	0.040	1587	41.997	1010	27.354	273	9.085	1
74-pfama.mmseqs	28.310	0.020	0.040	1201	31.820	817	23.586	347	13.351	1
136-pfama.mmseqs	29.080	0.030	0.050	1957	42.461	1280	28.560	283	7.408	1
89-pfama.mmseqs	27.930	0.020	0.040	1151	34.689	812	26.557	360	15.571	1
90-pfama.mmseqs	27.960	0.020	0.050	1159	34.991	804	26.125	350	15.138	1
72-pfama.mmseqs	28.360	0.020	0.050	1168	33.306	778	24.002	330	13.586	1
147-pfama.mmseqs	28.900	0.020	0.080	1508	44.123	916	27.697	275	10.197	1
125-pfama.mmseqs	29.980	0.020	0.040	1851	40.897	1246	29.507	361	10.652	1
68-pfama.mmseqs	29.240	0.020	0.060	1512	41.815	1115	34.839	322	12.763	1
19-pfama.mmseqs	30.030	0.020	0.040	983	21.276	601	13.545	268	8.422	1
58-pfama.mmseqs	29.780	0.020	0.060	1559	39.890	1136	32.965	323	11.897	1
18-pfama.mmseqs	30.140	0.020	0.050	929	18.725	590	12.594	251	7.581	1
143-pfama.mmseqs	29.740	0.020	0.060	1248	35.410	951	29.635	395	15.008	1
59-pfama.mmseqs	29.730	0.020	0.050	1201	32.412	827	24.078	353	13.556	1
57-pfama.mmseqs	30.010	0.020	0.060	1508	42.264	1095	34.932	317	12.772	1
75-pfama.mmseqs	30.640	0.080	0.060	1301	31.696	881	23.145	364	12.862	1
37-pfama.mmseqs	30.990	0.030	0.070	1562	36.035	1135	29.406	330	10.830	1
111-pfama.mmseqs	29.940	0.060	0.060	1104	32.533	788	25.242	360	15.171	1
129-pfama.mmseqs	30.860	0.020	0.060	1050	26.521	723	19.542	270	9.664	1
88-pfama.mmseqs	29.930	0.070	0.080	1157	34.741	804	25.991	353	15.216	1
160-pfama.mmseqs	30.180	0.090	0.060	1084	31.302	768	24.207	343	14.316	1
24-pfama.mmseqs	31.070	0.020	0.050	802	20.787	596	17.425	242	9.922	1
142-pfama.mmseqs	31.560	0.030	0.080	1168	32.043	823	24.729	248	9.598	1
92-pfama.mmseqs	32.520	0.070	0.090	1461	33.986	1131	30.068	336	11.351	1
127-pfama.mmseqs	32.720	0.030	0.100	1902	50.483	1414	44.239	372	14.988	1
87-pfama.mmseqs	34.200	0.030	0.070	2102	52.933	1404	42.740	369	13.197	1
105-pfama.mmseqs	19.270	0.030	0.030	946	34.391	619	24.816	224	12.691	1
48-pfama.mmseqs	21.850	0.020	0.030	1127	35.906	783	27.126	345	15.943	1
106-pfama.mmseqs	22.910	0.070	0.100	1269	38.861	955	33.710	407	18.391	1
133-pfama.mmseqs	20.380	0.020	0.030	1457	47.556	998	39.209	299	16.420	1
1-pfama.mmseqs	22.980	0.050	0.030	1073	34.480	684	24.072	245	11.233	1
42-pfama.mmseqs	21.650	0.020	0.030	1014	34.633	717	26.833	297	15.445	1
158-pfama.mmseqs	20.620	0.020	0.050	1230	45.388	842	36.445	299	16.817	1
56-pfama.mmseqs	22.620	0.020	0.030	1077	36.232	733	26.737	313	15.642	1
7-pfama.mmseqs	20.960	0.040	0.030	1231	45.612	898	38.457	309	17.272	1
62-pfama.mmseqs	23.740	0.040	0.030	1350	42.680	916	31.538	300	13.812	1
80-pfama.mmseqs	23.370	0.030	0.030	1055	31.113	689	24.453	248	12.326	1
153-pfama.mmseqs	21.910	0.070	0.040	1468	61.873	1071	49.201	370	20.386	1
101-pfama.mmseqs	22.850	0.090	0.040	1265	43.277	879	34.839	327	17.801	1
135-pfama.mmseqs	23.100	0.030	0.140	957	33.795	745	30.335	243	12.932	1
151-pfama.mmseqs	24.340	0.020	0.040	1092	30.611	787	26.854	276	13.828	1
100-pfama.mmseqs	23.670	0.020	0.040	1267	42.689	882	34.387	328	17.568	1
73-pfama.mmseqs	25.100	0.060	0.040	1115	36.194	749	26.726	330	15.392	1
131-pfama.mmseqs	26.620	0.020	0.040	1185	35.517	865	29.590	233	10.383	1
110-pfama.mmseqs	24.340	0.020	0.040	961	32.410	734	28.205	247	12.667	1
128-pfama.mmseqs	25.270	0.020	0.040	857	24.795	620	20.976	250	12.083	1
150-pfama.mmseqs	26.740	0.070	0.070	1700	56.600	1212	43.937	679	30.380	1
156-pfama.mmseqs	25.270	0.020	0.030	1016	36.685	769	30.369	351	17.736	1
141-pfama.mmseqs	24.000	0.070	0.040	858	31.225	619	25.353	249	14.060	1
82-pfama.mmseqs	20.820	0.070	0.040	994	38.333	660	28.512	279	16.607	1
109-pfama.mmseqs	23.050	0.020	0.040	989	34.144	706	28.646	263	15.220	1
126-pfama.mmseqs	24.590	0.090	0.040	863	30.629	630	26.057	242	13.829	1
