#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	3	434	-	GCA_028622045_00001	17.3	10.0	PF13396.11|PLDc_N	PFAM:PF13396.11
contig_1	7615	8136	+	GCA_028622045_00008	20.9	9.5		SO:0001217, UniRef:UniRef50_UPI002578AD1E, UniRef:UniRef90_UPI002578AD1E
contig_1	8299	9354	+	GCA_028622045_00009	40.0	6.8	PF03382.20|DUF285	PFAM:PF03382.20
contig_1	13669	14625	-	GCA_028622045_00015	38.8	9.3		
contig_1	14976	15392	+	GCA_028622045_00016	16.2	9.1		SO:0001217, UniRef:UniRef50_UPI00157B5766
contig_1	16590	18296	+	GCA_028622045_00018	67.0	6.5		SO:0001217, UniRef:UniRef50_UPI00157A47F8, UniRef:UniRef90_UPI00249307BB
contig_1	18445	18534	+	GCA_028622045_00019	3.5	9.9		
contig_1	18820	18993	+	GCA_028622045_00020	6.9	6.5		SO:0001217, UniRef:UniRef50_UPI00157A54C7, UniRef:UniRef90_UPI0030D4F240
contig_1	18995	21025	-	GCA_028622045_00021	79.1	5.5		SO:0001217, UniRef:UniRef50_UPI00157BA26B
contig_1	20973	22217	-	GCA_028622045_00022	48.4	5.7		SO:0001217, UniRef:UniRef50_UPI00157B84EC
contig_1	22233	22355	-	GCA_028622045_00023	4.4	10.5		
contig_1	22360	24555	-	GCA_028622045_00024	85.4	5.1		SO:0001217, UniRef:UniRef50_UPI00157A9784
contig_1	24559	26250	-	GCA_028622045_00025	65.7	10.0		SO:0001217, UniRef:UniRef50_UPI00157B11C7
contig_1	26265	27443	-	GCA_028622045_00026	44.0	5.2		SO:0001217, UniRef:UniRef50_UPI00157B4ACD, UniRef:UniRef90_UPI0030CA6680
contig_1	27462	27836	-	GCA_028622045_00027	14.5	6.4		SO:0001217, UniRef:UniRef50_UPI00157B90B1
