# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	255	2408	-	GCA_017847635_00001	1274.0	0.0	0.985	1.001	0.905	UniRef:UniRef90_UPI0022261300
contig_1	cds	2417	3817	-	GCA_017847635_00002	869.0	0.0	1.004	1.002	0.934	UniRef:UniRef90_A0A369RKY9
contig_2	cds	246	1247	+	GCA_017847635_00003	556.0	1.2e-198	0.940	1.0	0.949	UniRef:UniRef90_UPI0030D17E8A
contig_2	cds	1655	2152	+	GCA_017847635_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001D2DE832
contig_2	tRNA	2862	2937	+	GCA_017847635_00006	75.6	-	-	-	-	-
contig_2	tRNA	3053	3129	+	GCA_017847635_00007	76.4	-	-	-	-	-
contig_2	tRNA	3131	3207	+	GCA_017847635_00008	78.8	-	-	-	-	-
contig_2	tRNA	3219	3294	+	GCA_017847635_00009	79.2	-	-	-	-	-
contig_2	tRNA	3327	3403	+	GCA_017847635_00010	62.6	-	-	-	-	-
contig_2	tRNA	3411	3487	+	GCA_017847635_00011	77.6	-	-	-	-	-
contig_2	tRNA	3501	3590	+	GCA_017847635_00012	77.6	-	-	-	-	-
contig_2	tRNA	3612	3686	+	GCA_017847635_00013	65.9	-	-	-	-	-
contig_2	tRNA	3688	3763	+	GCA_017847635_00014	74.1	-	-	-	-	-
contig_3	cds	189	386	-	GCA_017847635_00015	90.9	7.1e-23	1.0	1.0	0.862	UniRef:UniRef90_UPI001DE0A1BE
contig_3	cds	390	599	-	GCA_017847635_00016	-	-	-	-	-	-
contig_3	cds	945	2030	+	GCA_017847635_00017	603.0	7.0e-216	1.069	1.0	0.868	UniRef:UniRef90_UPI0013CA9CD8
contig_3	cds	2135	3904	+	GCA_017847635_00018	1171.0	0.0	1.002	1.0	0.995	UniRef:UniRef90_UPI00157A31B5
contig_4	cds	124	744	-	GCA_017847635_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00157A9CF3
contig_4	cds	761	1186	-	GCA_017847635_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00157B20A2
contig_4	cds	1263	1445	-	GCA_017847635_00021	60.8	4.0e-11	1.0	1.0	0.967	UniRef:UniRef90_UPI0013CC30A3
contig_4	cds	1635	3542	-	GCA_017847635_00022	1092.0	0.0	0.994	0.960	0.906	UniRef:UniRef90_UPI0030D56E81
contig_5	cds	219	416	+	GCA_017847635_00023	-	-	-	-	-	-
contig_5	cds	429	2978	+	GCA_017847635_00024	1516.0	0.0	1.001	1.0	0.933	UniRef:UniRef90_UPI0013CA69C1
contig_5	cds	3092	3622	+	GCA_017847635_00025	-	-	-	-	-	-
contig_6	cds	29	247	-	GCA_017847635_00026	-	-	-	-	-	-
contig_6	cds	558	3680	+	GCA_017847635_00027	1956.0	0.0	0.984	1.0	0.981	UniRef:UniRef90_UPI00157B5BC3
contig_7	cds	61	1395	-	GCA_017847635_00028	837.0	1.1e-305	1.0	1.0	0.953	UniRef:UniRef90_UPI0013C668F4
contig_7	cds	1420	1941	-	GCA_017847635_00029	279.0	4.5e-94	0.988	1.0	0.959	UniRef:UniRef90_UPI0013CC5A9D
contig_7	cds	2045	2410	-	GCA_017847635_00030	232.0	2.8e-77	1.0	1.0	0.926	UniRef:UniRef90_UPI00157A94DE
contig_7	cds	2534	3694	+	GCA_017847635_00031	718.0	1.1e-260	1.0	1.0	0.935	UniRef:UniRef90_UPI0013C8F6ED
contig_8	cds	223	375	-	GCA_017847635_00032	99.4	1.1e-26	1.0	1.0	0.960	UniRef:UniRef90_UPI00313C5357
contig_8	cds	479	1297	-	GCA_017847635_00033	547.0	8.0e-197	0.996	0.954	0.993	UniRef:UniRef90_UPI00313BC327
contig_8	tRNA	1462	1546	-	GCA_017847635_00034	64.6	-	-	-	-	-
contig_8	tRNA	1552	1627	-	GCA_017847635_00035	70.6	-	-	-	-	-
contig_8	tRNA	1684	1758	-	GCA_017847635_00036	61.2	-	-	-	-	-
contig_8	tRNA	1783	1857	-	GCA_017847635_00037	77.0	-	-	-	-	-
contig_8	cds	2424	2795	+	GCA_017847635_00038	248.0	2.9e-83	1.0	0.831	0.976	UniRef:UniRef90_UPI0030D39B47
contig_8	cds	2796	3314	+	GCA_017847635_00039	328.0	2.1e-113	1.070	1.0	0.897	UniRef:UniRef90_UPI00157A40C6
contig_8	cds	3318	3659	+	GCA_017847635_00040	186.0	2.2e-59	1.0	1.0	0.973	UniRef:UniRef90_UPI00157A71DF
contig_9	cds	207	896	+	GCA_017847635_00041	291.0	6.0e-97	1.009	1.0	0.680	UniRef:UniRef90_UPI0013C88759
contig_9	cds	1768	2550	+	GCA_017847635_00042	469.0	1.5e-166	0.962	0.947	0.980	UniRef:UniRef90_UPI0030CE0EB0
contig_9	cds	2553	2939	+	GCA_017847635_00043	228.0	1.6e-75	1.0	1.0	0.977	UniRef:UniRef90_UPI0030D3DB13
contig_9	cds	3071	3220	+	GCA_017847635_00044	-	-	-	-	-	-
contig_9	cds	3240	3461	+	GCA_017847635_00045	127.0	3.9e-37	1.0	1.0	0.918	UniRef:UniRef90_UPI00157B63BD
contig_10	cds	72	359	-	GCA_017847635_00046	162.0	4.6e-50	0.926	0.846	0.841	UniRef:UniRef90_UPI003254B2F1
contig_10	cds	675	1553	-	GCA_017847635_00047	250.0	3.5e-79	0.952	0.962	0.500	UniRef:UniRef90_UPI0027E07BDD
contig_10	cds	2311	2895	+	GCA_017847635_00048	357.0	2.6e-124	0.990	0.995	0.938	UniRef:UniRef90_UPI0027E0F142
contig_10	cds	3080	3298	+	GCA_017847635_00049	-	-	-	-	-	-
contig_10	cds	3414	3629	-	GCA_017847635_00050	106.0	6.1e-29	1.014	1.0	0.861	UniRef:UniRef90_UPI00207A5595
contig_11	cds	142	525	+	GCA_017847635_00051	255.0	4.4e-86	1.0	1.0	0.976	UniRef:UniRef90_UPI0030CFD22D
contig_11	cds	856	1008	+	GCA_017847635_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00157A438B
contig_11	cds	990	1403	+	GCA_017847635_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001E110C0D
contig_11	cds	1598	3658	+	GCA_017847635_00054	1222.0	0.0	1.156	1.0	0.842	UniRef:UniRef90_UPI0030D3EA4C
contig_11	cds	3681	4925	+	GCA_017847635_00055	802.0	4.0e-293	1.0	1.0	0.988	UniRef:UniRef90_UPI0013C98281
contig_11	cds	4947	6278	+	GCA_017847635_00056	721.0	7.8e-260	1.002	1.0	0.977	UniRef:UniRef90_UPI0013CB472B
contig_11	cds	6351	7448	+	GCA_017847635_00057	712.0	5.1e-259	1.0	0.984	0.992	UniRef:UniRef90_UPI00157BAA3E
contig_11	cds	7634	7783	+	GCA_017847635_00058	83.6	1.9e-20	1.0	1.0	0.735	UniRef:UniRef90_A0A846U111
contig_11	cds	7795	8226	+	GCA_017847635_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0013C8FBEC
