#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	217	1500	+	GCA_002135175_0002	50.1	9.7	PF22421.1|SYY_C-terminal	PFAM:PF22421.1
contig_1	1497	2096	-	GCA_002135175_0003	23.3	10.2	PF01479.30|S4	PFAM:PF01479.30
contig_1	2241	3920	+	GCA_002135175_0004	67.5	9.3		
contig_1	3902	6922	+	GCA_002135175_0005	118.6	9.0	PF07733.18|DNA_pol3_alpha, PF14579.12|HHH_6, PF17657.6|DNA_pol3_finger	PFAM:PF07733.18, PFAM:PF14579.12, PFAM:PF17657.6
contig_1	6928	15156	-	GCA_002135175_0006	323.6	8.2	PF02687.27|FtsX	PFAM:PF02687.27
contig_1	15894	16871	+	GCA_002135175_0007	37.8	9.9	PF00145.23|DNA_methylase	PFAM:PF00145.23
contig_1	17187	23420	-	GCA_002135175_0008	238.7	4.9		
contig_1	24028	26061	-	GCA_002135175_0009	80.0	8.9	PF13175.12|AAA_15, PF13304.12|AAA_21, PF20469.4|OLD-like_TOPRIM	PFAM:PF13175.12, PFAM:PF13304.12, PFAM:PF20469.4
contig_1	26369	28321	-	GCA_002135175_0010	75.7	9.5	PF18135.7|Type_ISP_C	PFAM:PF18135.7
contig_1	28275	31196	-	GCA_002135175_0011	111.3	8.9	PF00270.35|DEAD, PF00271.37|Helicase_C, PF22240.1|ISP_coupler	PFAM:PF00270.35, PFAM:PF00271.37, PFAM:PF22240.1
contig_1	31504	32484	-	GCA_002135175_0012	38.9	8.9		
contig_1	32664	33524	-	GCA_002135175_0013	32.3	9.2		
contig_1	33738	35045	-	GCA_002135175_0014	49.6	5.1	PF00082.27|Peptidase_S8	PFAM:PF00082.27
contig_1	35589	36791	-	GCA_002135175_0015	47.8	9.5	PF13910.11|DUF4209	PFAM:PF13910.11
contig_1	37155	37634	-	GCA_002135175_0016	18.9	10.1		
contig_1	37696	37953	-	GCA_002135175_0017	9.9	9.4		
contig_1	38111	38353	+	GCA_002135175_0018	10.0	11.5		
contig_1	38434	39153	+	GCA_002135175_0019	26.7	9.2	PF01048.26|PNP_UDP_1	PFAM:PF01048.26
contig_1	44544	45770	+	GCA_002135175_0022	47.5	9.4		
contig_1	46541	49765	-	GCA_002135175_0023	128.2	9.1		
contig_1	50495	51673	-	GCA_002135175_0024	47.0	9.3		
contig_1	52130	54337	-	GCA_002135175_0025	88.4	9.5		
contig_1	54564	54923	-	GCA_002135175_0026	14.2	9.5		
contig_1	54862	55344	-	GCA_002135175_0027	19.1	9.7		
contig_1	56230	56361	-	GCA_002135175_0029	4.5	4.7	PF00145.23|DNA_methylase	PFAM:PF00145.23
contig_1	57172	59214	-	GCA_002135175_0030	81.5	9.5		
contig_1	64171	64923	-	GCA_002135175_0033	29.3	9.1	PF12705.13|PDDEXK_1	PFAM:PF12705.13
contig_1	64927	65178	-	GCA_002135175_0034	9.5	10.6	PF00312.27|Ribosomal_S15	PFAM:PF00312.27
contig_1	65242	66087	-	GCA_002135175_0035	33.3	9.3	PF01687.23|Flavokinase	PFAM:PF01687.23
contig_1	66080	66442	-	GCA_002135175_0036	14.0	9.3		
contig_1	66432	68234	-	GCA_002135175_0037	67.7	9.1	PF00009.33|GTP_EFTU, PF00071.28|Ras, PF11987.13|IF-2	PFAM:PF00009.33, PFAM:PF00071.28, PFAM:PF11987.13
contig_1	68250	69446	-	GCA_002135175_0038	45.1	6.0	PF08529.16|NusA_N, PF13184.12|KH_5	PFAM:PF08529.16, PFAM:PF13184.12
contig_1	69537	73856	-	GCA_002135175_0039	165.8	9.0	PF00929.31|RNase_T, PF07733.18|DNA_pol3_alpha, PF14579.12|HHH_6, PF17657.6|DNA_pol3_finger	PFAM:PF00929.31, PFAM:PF07733.18, PFAM:PF14579.12, PFAM:PF17657.6
contig_1	73914	74492	-	GCA_002135175_0040	22.4	9.2	PF01765.24|RRF	PFAM:PF01765.24
contig_1	74449	75186	-	GCA_002135175_0041	26.5	9.0		
