#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1992	2906	-	GCA_022712415_0003	35.1	9.1		
contig_1	2896	3990	-	GCA_022712415_0004	40.1	6.5	PF00005.33|ABC_tran, PF13304.12|AAA_21	PFAM:PF00005.33, PFAM:PF13304.12
contig_1	4000	4893	-	GCA_022712415_0005	34.5	9.4		
contig_1	4895	5815	-	GCA_022712415_0006	34.4	7.0	PF00005.33|ABC_tran, PF13304.12|AAA_21	PFAM:PF00005.33, PFAM:PF13304.12
contig_1	5854	6621	-	GCA_022712415_0007	29.2	5.2		
contig_1	6693	7841	+	GCA_022712415_0008	43.7	9.1		
contig_1	7869	8063	-	GCA_022712415_0009	7.2	9.7		
contig_1	8128	9750	-	GCA_022712415_0010	60.7	8.6		
contig_1	10703	12316	-	GCA_022712415_0012	60.6	9.2		
contig_1	12306	12641	-	GCA_022712415_0013	12.9	6.7		
contig_2	22	1575	+	GCA_022712415_0014	60.0	6.8	PF22619.2|DNA_polI_exo1	PFAM:PF22619.2
contig_2	1584	2414	+	GCA_022712415_0015	31.5	8.2	PF01149.29|Fapy_DNA_glyco, PF06827.20|zf-FPG_IleRS, PF06831.19|H2TH	PFAM:PF01149.29, PFAM:PF06827.20, PFAM:PF06831.19
contig_2	2567	3808	+	GCA_022712415_0016	47.7	5.7		
contig_3	355	825	+	GCA_022712415_0017	16.4	10.1		
contig_3	1504	2382	+	GCA_022712415_0020	32.8	5.8	PF00226.36|DnaJ	PFAM:PF00226.36
contig_3	2385	3470	+	GCA_022712415_0021	41.2	6.6		
contig_3	5002	5481	+	GCA_022712415_0023	18.4	5.0		
contig_4	20	793	+	GCA_022712415_0024	29.5	9.6		
contig_5	659	829	+	GCA_022712415_0026	6.3	5.1		
contig_5	1308	1574	-	GCA_022712415_0027	10.4	5.1		
contig_5	1574	1996	-	GCA_022712415_0028	15.7	9.6		
contig_5	5040	5399	-	GCA_022712415_0031	13.6	4.9	PF03479.20|PCC	PFAM:PF03479.20
contig_5	8656	9177	-	GCA_022712415_0034	20.5	10.1	PF00271.37|Helicase_C	PFAM:PF00271.37
contig_6	4472	5218	+	GCA_022712415_0040	28.3	4.9		
contig_6	8745	10325	+	GCA_022712415_0043	62.7	8.4		
contig_6	10573	11133	+	GCA_022712415_0045	21.5	9.0		
contig_6	11271	12089	+	GCA_022712415_0046	31.3	6.6		
contig_7	12	1229	+	GCA_022712415_0047	42.9	9.6		
contig_7	2453	2746	-	GCA_022712415_0049	11.4	8.7		
contig_8	45	608	+	GCA_022712415_0050	21.6	8.7	PF01330.27|RuvA_N, PF14520.12|HHH_5	PFAM:PF01330.27, PFAM:PF14520.12
contig_8	1607	2011	+	GCA_022712415_0052	15.5	6.0		
contig_8	2250	3023	+	GCA_022712415_0053	29.3	5.3	PF00455.28|DeoRC	PFAM:PF00455.28
contig_9	150	455	+	GCA_022712415_0055	12.0	5.9		
contig_9	1627	2430	+	GCA_022712415_0057	30.3	5.0		
contig_9	4597	6603	+	GCA_022712415_0060	74.0	8.9	PF00324.27|AA_permease	PFAM:PF00324.27
contig_9	6710	9664	+	GCA_022712415_0061	111.1	7.3	PF01580.24|FtsK_SpoIIIE, PF09397.16|FtsK_gamma, PF17854.6|FtsK_alpha	PFAM:PF01580.24, PFAM:PF09397.16, PFAM:PF17854.6
contig_10	3000	4580	-	GCA_022712415_0066	60.7	9.6		
contig_10	4732	5331	+	GCA_022712415_0067	22.9	5.1		
contig_10	5392	7311	-	GCA_022712415_0068	72.0	9.3		
contig_10	8245	9267	-	GCA_022712415_0070	38.1	5.3		
contig_11	8854	9411	+	GCA_022712415_0076	20.6	4.6		
contig_12	9	752	+	GCA_022712415_0077	27.9	9.3		
contig_13	298	576	-	GCA_022712415_0081	10.8	9.0	PF22025.1|ThiI_fer	PFAM:PF22025.1
contig_13	586	2340	-	GCA_022712415_0082	68.4	6.4		
contig_14	8	2041	+	GCA_022712415_0083	80.4	7.1	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_14	2025	4397	+	GCA_022712415_0084	88.7	4.8	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_15	195	377	+	GCA_022712415_0085	7.2	9.3		
contig_15	395	673	+	GCA_022712415_0086	11.1	7.9		
contig_15	687	1739	+	GCA_022712415_0087	41.6	7.8		
contig_15	1832	3550	+	GCA_022712415_0088	64.2	9.2		
contig_15	3572	4201	+	GCA_022712415_0089	24.5	5.1	PF01121.26|CoaE	PFAM:PF01121.26
contig_15	4241	5200	-	GCA_022712415_0090	34.2	9.6		
contig_15	5477	6154	-	GCA_022712415_0091	26.0	8.8		
contig_15	6161	6319	-	GCA_022712415_0092	6.0	9.3		
contig_16	309	1157	-	GCA_022712415_0093	32.0	9.1		
contig_16	1135	4092	-	GCA_022712415_0094	111.0	4.6	PF21910.2|GH85_C	PFAM:PF21910.2
