#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	66522	66935	+	GCF_964019505_0069	16.1	5.9		RefSeq:WP_338983644.1, SO:0001217, UniParc:UPI0030CBC7E0, UniRef:UniRef100_UPI0030CBC7E0, UniRef:UniRef50_UPI0030CBC7E0, UniRef:UniRef90_UPI0030CBC7E0
contig_1	67006	67635	+	GCF_964019505_0070	24.8	9.0		RefSeq:WP_338983645.1, SO:0001217, UniParc:UPI0030D2A08E, UniRef:UniRef100_UPI0030D2A08E, UniRef:UniRef50_UPI0030D2A08E, UniRef:UniRef90_UPI0030D2A08E
contig_1	71121	72818	+	GCF_964019505_0074	65.4	6.1		RefSeq:WP_338983652.1, SO:0001217, UniParc:UPI0030D0B2D3, UniRef:UniRef100_UPI0030D0B2D3, UniRef:UniRef50_UPI0030D0B2D3, UniRef:UniRef90_UPI0030D0B2D3
contig_1	73563	75722	+	GCF_964019505_0076	83.5	6.9		RefSeq:WP_338983656.1, SO:0001217, UniParc:UPI0030D553EF, UniRef:UniRef100_UPI0030D553EF, UniRef:UniRef50_UPI0030D553EF, UniRef:UniRef90_UPI0030D553EF
contig_1	75782	76201	-	GCF_964019505_0077	16.6	8.9		RefSeq:WP_338983658.1, SO:0001217, UniParc:UPI0030D3FF73, UniRef:UniRef100_UPI0030D3FF73, UniRef:UniRef50_UPI0030D3FF73, UniRef:UniRef90_UPI0030D3FF73
contig_1	105721	105840	+	GCF_964019505_0110	4.5	4.4		SO:0001217, UniRef:UniRef50_A0A858AQ80
contig_1	142298	143014	+	GCF_964019505_0150	29.2	9.4		RefSeq:WP_338983760.1, SO:0001217, UniParc:UPI0030D1C080, UniRef:UniRef100_UPI0030D1C080, UniRef:UniRef50_A0A858AQB5, UniRef:UniRef90_UPI0030D1C080
contig_1	145294	147408	+	GCF_964019505_0154	82.6	5.4		SO:0001217, UniRef:UniRef50_UPI0030CAE3B2, UniRef:UniRef90_UPI0030CAE3B2
contig_1	147431	148534	+	GCF_964019505_0155	41.7	4.4		RefSeq:WP_338983768.1, SO:0001217, UniParc:UPI0030CD46E3, UniRef:UniRef100_UPI0030CD46E3, UniRef:UniRef50_UPI0030CD46E3, UniRef:UniRef90_UPI0030CD46E3
contig_1	167113	167505	-	GCF_964019505_0172	15.1	9.3		RefSeq:WP_338983801.1, SO:0001217, UniParc:UPI0030D288DF, UniRef:UniRef100_UPI0030D288DF, UniRef:UniRef50_UPI0030D288DF, UniRef:UniRef90_UPI0030D288DF
contig_1	169812	170063	+	GCF_964019505_0175	9.9	4.6		RefSeq:WP_338983805.1, SO:0001217, UniParc:UPI0030D25EF4, UniRef:UniRef100_UPI0030D25EF4, UniRef:UniRef50_UPI0030D25EF4, UniRef:UniRef90_UPI0030D25EF4
